Ulasan
alhamdulillah barang sampai dengan selamat dalam zip lock dan aman. bahan comfortable dry-fit dengan ukuran yang bagus espektasi sesuai (170cm). design yang menarik tapi ada sedikit lubang dalam gambar 🥹 semoga bermanfaat untuk olaraga dan futsal/bola.
"Cepet 2 hari nyampe tak kira bakal ngak sempet buat nobar timnas,. kualitas baju oke lah, cuma punyaku pacth di lengannya kurang rapi ada yg ngelipet,"
"Sablonnya kurang rapi ,padahal kualitas baju bagus..sedikit kecewa saya Semoga dpt diperbaiki kualitas sablonnya"
"Barang udh Sampek, sesuai pesanan. Bahan lumayan bagus adem dipakeknya. Makasihnya kurirnya baik dan sopan."
"Bahan udah oke yang minus di lambang nya list kuning nya kenapa gak rata. sama costum nama nya salah sablon,request nama nya Romeny yang di sablon malah Remony😭"
"kualitas kain lumayan baik,..tapi ini cocok buat cewe.."
"Untuk kaosnya bagus, cuma pengirimannya lama sekali. saya konfirmasi katanya akan dikirim senin tp nyatanya baru selasa malam dikirimnya. itupun sablon kanan kirinya kurang bagus hasilnya. Terus ada bintik merah dibagian belakang kaos."
Bahanya bagus cuma kurangya kurang rapihh di sablon patch pildunnya
Patchnya udah ngelupas mohon di perbaiki kualitas sablonan patchnya
Sy pesanya ada nama dan no punggung tp di krm ny polos ini gmn GX amanah
"Bahan: Kualitas sablon tipis berantakan,nomor punggung sablonya tipis banget,logo erspo tekelupas"
"Bentuk dan ukuran: Pas Bahan: Bagus Warna: Warna sesuai Karakteristik: Sablon seperti kurang nempek sehingga ada yang terkelupas, jadi harus di setrika ulang"
Semua oke. Kecuali pelapis logo indonesia nya lepas sendiri waktu baru datang. Sebenarnya baru lepas setengah. Cuma saya lepas sekalian karena ganggu
Bahan bagus sayangnya sayavpesen dengan no punggung yg datang polos🤦‍♂️
Bentuk dan ukuran: Ok Bahan: Ok Warna: Bagus Cuman ini sablon nya jelek ngelupas2 kurang bagus kualitas sablon mhn jadi perbaikan (qualitas) Dan huruf gede sebelah quality control nya harus lebih baik lagi ya tau gitu beli yang polos (sablon diluar yang lebih bagus)
"Apa ini? Ukuran angkanya kecil banget, sebagai perbandingan ukuran seharusnya kiri kanan Kecewa kecewa, Tambah custom nama harganya mahal pas dateng gak sesuai ukuran seharusnya, kalo masalah bhan mah aman, tapi liat nomernya kecil aneh jadinya hadeuh hadeuuuhhhh Jersey XXL angka kek jersey anak SD"
"Parah ah dapet barang reject, logo garudanya mau copot, maaf saya sedikit kecewa"
Bahan: Sablonannya kurang Warna: Pas Bentuk dan ukuran: Pas Karakteristik: Cocok cuma sablonannya kurang kenceng
"Bahan lumayan sesuai harga lah yaa, tapi pengiriman tidak sesuai pesanan 🤧 pesen polos eh datangnya berlogo 😪"
"Sedikit kecewa ,jaitan garis putih bagian depan tidak sejajar antara kanan & kiri (miring)"
