komentar,tokens,cleaned
terimakasih sepatnya sudah sampai. sepatunya pas dan nyaman dipakai.sesusai juga dgn produk nya. ☺☺☺,"['terimakasih', 'sepat', 'sampai', 'sepatu', 'pas', 'nyaman', 'pakai sesusai', 'dgn', 'produk', 'nya', '']",terimakasih sepat sampai sepatu pas nyaman pakai sesusai dgn produk nya 
barang udah d terima.... kecewa katanya sold empuk ternyata keras,"['barang', 'udah', 'terima', 'kecewa', 'sold', 'empuk', 'keras']",barang udah terima kecewa sold empuk keras
bagus realpict .murmer lg.mantaap .amanah 👍👍👍,"['bagus', 'realpict', 'murmer', 'lg mantaap', 'amanah', '']",bagus realpict murmer lg mantaap amanah 
telpak kaki ny keras tidak sesuai dgn yang di di promosi kan,"['telpak', 'kaki', 'ny', 'keras', 'sesuai', 'dgn', 'promosi']",telpak kaki ny keras sesuai dgn promosi
alhamdulillah pket sampai tpi agak ke kecilan 🙏🙏,"['alhamdulillah', 'pket', 'tpi', 'kecil', '']",alhamdulillah pket tpi kecil 
"maaf baru ngasih ulasan ,sepatunya bagus lumayan lah buat sehari2","['maaf', 'ngasih', 'ulas', 'sepatu', 'bagus', 'lumayan', 'sehari2']",maaf ngasih ulas sepatu bagus lumayan sehari2
mengecewakan tidak sesuai harapan tidak memuaskan,"['kecewa', 'sesuai', 'harap', 'muas']",kecewa sesuai harap muas
gimana cih orang minta nomor 42 knpa yang di krim nomor 39 tidak aman banget,"['gimana', 'cih', 'nomor', '42', 'knpa', 'krim', 'nomor', '39', 'aman', 'banget']",gimana cih nomor 42 knpa krim nomor 39 aman banget
bentuk dan ukuran: pas daya tahan pakai: kuat,"['bentuk', 'ukur', 'pas', 'daya', 'tahan', 'pakai', 'kuat']",bentuk ukur pas daya tahan pakai kuat
bagus sepatu nyah desain nyah elegan tapi sayang ka lem man nyah tidak kuat baru z di pakai udah meler.,"['bagus', 'sepatu', 'nyah', 'desain', 'nyah', 'elegan', 'sayang', 'ka', 'lem', 'man', 'nyah', 'kuat', 'pakai', 'udah', 'meler']",bagus sepatu nyah desain nyah elegan sayang ka lem man nyah kuat pakai udah meler
"pengiriman cepat,barang sesuai,kualitas ya ada harga ada kualitas,arumanya tidak enak,moga² awet","['kirim', 'cepat barang', 'sesuai kualitas', 'harga', 'kualitas arumanya', 'enak moga', 'awet']",kirim cepat barang sesuai kualitas harga kualitas arumanya enak moga awet
"bentuk dan ukuran: ukuran pesen saize 42 tapi yang dateng 40, dan bahan juga agak berat bawahnya g mpuk atw lentur.","['bentuk', 'ukur', 'ukur', 'sen', 'saize', '42', 'dateng', '40', 'bahan', 'berat', 'bawah', 'mpuk', 'atw', 'lentur']",bentuk ukur ukur sen saize 42 dateng 40 bahan berat bawah mpuk atw lentur
sudah di terima kirim cepat produck & kwalitas sesuai harga semoga lem kuat tidak gampang jebol,"['terima', 'kirim', 'cepat', 'produck', '', 'kwalitas', 'sesuai', 'harga', 'moga', 'lem', 'kuat', 'gampang', 'jebol']",terima kirim cepat produck  kwalitas sesuai harga moga lem kuat gampang jebol
"lumayan untuk harga segitu,sedikit sobek tapi masih bisa di pakai bentuk dan ukuran: .ukuran pas daya tahan pakai: mudah'' awet,belum di pakai pengiriman cepat","['lumayan', 'harga', 'segitu sedikit', 'sobek', 'pakai', 'bentuk', 'ukur', 'ukur', 'pas', 'daya', 'tahan', 'pakai', 'mudah', 'awet belum', 'pakai', 'kirim', 'cepat']",lumayan harga segitu sedikit sobek pakai bentuk ukur ukur pas daya tahan pakai mudah awet belum pakai kirim cepat
"mendarat aman sesuai pesanan rapi pengiriman cpt brang bgus harga terjangkau kualitas lumayan bgus dn pas di pke,,serta amanah,,.","['darat', 'aman', 'sesuai', 'pesan', 'rapi', 'kirim', 'cpt', 'brang', 'bgus', 'harga', 'jangkau', 'kualitas', 'lumayan', 'bgus', 'dn', 'pas', 'pke serta', 'amanah']",darat aman sesuai pesan rapi kirim cpt brang bgus harga jangkau kualitas lumayan bgus dn pas pke serta amanah
