komentar,tokens,cleaned
bagus cuman katanya kalo yang uk 43 kata nya 28 cm trus sudah pilih yang 44 malah sempit juga tapi bagus sih,"['bagus', 'cuman', 'kalo', 'uk', '43', '28', 'cm', 'trus', 'pilih', '44', 'sempit', 'bagus', 'sih']",bagus cuman kalo uk 43 28 cm trus pilih 44 sempit bagus sih
"barang bagus, ringan di pakai👍🏻👍🏻","['barang', 'bagus', 'ringan', 'pakai']",barang bagus ringan pakai
"barang datang sesuai dg pesanan, ukuran 42, pas dipakai, warna sesuai gambar. nyaman untuk running, next bakal order lagi, makasiiih","['barang', 'sesuai', 'dg', 'pesan', 'ukur', '42', 'pas', 'pakai', 'warna', 'sesuai', 'gambar', 'nyaman', 'running', 'next', 'order', 'lagi', 'makasiiih']",barang sesuai dg pesan ukur 42 pas pakai warna sesuai gambar nyaman running next order lagi makasiiih
"pesanan sudah sampai dengan cepat, barang sesuai, harga ok.toko amanah, kurir lumyan.. pasti order lg...🔥🔥🔥","['pesan', 'cepat', 'barang', 'sesuai', 'harga', 'ok toko', 'amanah', 'kurir', 'lumyan', 'order', 'lg']",pesan cepat barang sesuai harga ok toko amanah kurir lumyan order lg
wah sepatu nya bagusss berkualitas ringan lembut dan warna yang cerah,"['sepatu', 'bagusss', 'kualitas', 'ringan', 'lembut', 'warna', 'cerah']",sepatu bagusss kualitas ringan lembut warna cerah
sampai dengan selamat keren pokonya cepat pesan disini cepat sampainya,"['selamat', 'keren', 'poko', 'cepat', 'pesan', 'cepat', 'sampai']",selamat keren poko cepat pesan cepat sampai
recomended barang bagus ukuran sesuai pesananan,"['recomended', 'barang', 'bagus', 'ukur', 'sesuai', 'pesananan']",recomended barang bagus ukur sesuai pesananan
"aroma: tidak sedap, kayak bau karet bentuk dan ukuran: catnya belepotan, jahitannya tidak rapih, bentuknya tidak sesuai dengan gambar, kemasan luar penyok berbekas sampe ke sepatunya produk ini tidak bisa ku rekomendasikan buat kalian yang mau beli, kalo mau belanja sebaiknya cari toko yang rating 4.1 keatas aja, kecewa pokoknya.","['aroma', 'sedap', 'kayak', 'bau', 'karet', 'bentuk', 'ukur', 'cat', 'belepotan', 'jahit', 'rapih', 'bentuk', 'sesuai', 'gambar', 'kemas', 'penyok', 'bekas', 'sampe', 'sepatu', 'produk', 'ku', 'rekomendasi', 'beli', 'kalo', 'belanja', 'cari', 'toko', 'rating', '4 1', 'atas', 'aja', 'kecewa', 'pokok']",aroma sedap kayak bau karet bentuk ukur cat belepotan jahit rapih bentuk sesuai gambar kemas penyok bekas sampe sepatu produk ku rekomendasi beli kalo belanja cari toko rating 4 1 atas aja kecewa pokok
"kondisi barang diterima dlm keadaan baik, kualitas bahan bagus terimakasih seller tetap amanah dan sukses selalu","['kondisi', 'barang', 'terima', 'dlm', 'baik', 'kualitas', 'bahan', 'bagus', 'terimakasih', 'seller', 'amanah', 'sukses']",kondisi barang terima dlm baik kualitas bahan bagus terimakasih seller amanah sukses
pengirimnya cepat dan kurirnya ramah dan sopan barangnya mantul 🙏👍👍,"['kirim', 'cepat', 'kurir', 'ramah', 'sopan', 'barang', 'mantul', '']",kirim cepat kurir ramah sopan barang mantul 
tali sepatu nya tidak ada gimana cara nya mau dipake tidak ada tali sepatu,"['tali', 'sepatu', 'gimana', 'dipake', 'tali', 'sepatu']",tali sepatu gimana dipake tali sepatu
"bagus si tapi keras,jadi gausah berharap lebih sama harga 100k an. aroma: karett daya tahan pakai: belum tau","['bagus', 'si', 'keras jadi', 'gausah', 'harap', 'harga', '100k', 'an', 'aroma', 'karett', 'daya', 'tahan', 'pakai', 'tau']",bagus si keras jadi gausah harap harga 100k an aroma karett daya tahan pakai tau
"mantap, cocok buat olahraga, tapi ketahanan blom tau, udah dicoba aman sih","['mantap', 'cocok', 'olahraga', 'tahan', 'blom', 'tau', 'udah', 'coba', 'aman', 'sih']",mantap cocok olahraga tahan blom tau udah coba aman sih
mantap barang sesuai pict barang datang lebih cepat,"['mantap', 'barang', 'sesuai', 'pict', 'barang', 'cepat']",mantap barang sesuai pict barang cepat
"paket dah smp,packing aman rapi,pas dikaki..tks seller kurir","['paket', 'dah', 'smp packing', 'aman', 'rapi pas', 'kaki tks', 'seller', 'kurir']",paket dah smp packing aman rapi pas kaki tks seller kurir
"bentuk dan ukuran: bentuk sesuai dengan yang ada di gambar, ukuran pas warna: bagus, sesuai gambar","['bentuk', 'ukur', 'bentuk', 'sesuai', 'gambar', 'ukur', 'pas', 'warna', 'bagus', 'sesuai', 'gambar']",bentuk ukur bentuk sesuai gambar ukur pas warna bagus sesuai gambar
"gambar realpic,sesuai gambar,,minus nomor 39 di pesan datangnya 39 besar,,tapi mantap dengan harga segini,,","['gambar', 'realpic sesuai', 'gambar minus', 'nomor', '39', 'pesan', 'datang', '39', 'besar tapi', 'mantap', 'harga', 'gin']",gambar realpic sesuai gambar minus nomor 39 pesan datang 39 besar tapi mantap harga gin
"warnanya sesuai, desain juga oke, cuman ukuran sepatunya tidak sesuai yang tertera ditoko, yang ukurannya cm 27 tapi ternyata cm 26,5","['warna', 'sesuai', 'desain', 'oke', 'cuman', 'ukur', 'sepatu', 'sesuai', 'tera', 'toko', 'ukur', 'cm', '27', 'cm', '26 5']",warna sesuai desain oke cuman ukur sepatu sesuai tera toko ukur cm 27 cm 26 5
punya yang ori tapi beli yang ini lumayan lah,"['ori', 'beli', 'lumayan']",ori beli lumayan
sepatunya saat di coba enak banget enteng bawa'annya engga' berat,"['sepatu', 'coba', 'banget', 'enteng', 'bawa annya', 'engga', 'berat']",sepatu coba banget enteng bawa annya engga berat
"yah, tidak bisa banyak komplain sih, cuma lebih ditingkatkan lagi kualitas lemnya, baru dipakai joging sekali solnya udah lepas","['yah', 'komplain', 'sih', 'tingkat', 'kualitas', 'lem', 'pakai', 'joging', 'sol', 'udah', 'lepas']",yah komplain sih tingkat kualitas lem pakai joging sol udah lepas
empuk lumayan buat lari larian...built quality begitulah..hehehe..sesuai dengan harga segitu..semangat,"['empuk', 'lumayan', 'lari', 'lari built', 'quality', 'begitu hehehe sesuai', 'harga', 'segitu semangat']",empuk lumayan lari lari built quality begitu hehehe sesuai harga segitu semangat
semoga awet daya tahan pakai: semoga awet bentuk dan ukuran: pas warna: sesuai,"['moga', 'awet', 'daya', 'tahan', 'pakai', 'moga', 'awet', 'bentuk', 'ukur', 'pas', 'warna', 'sesuai']",moga awet daya tahan pakai moga awet bentuk ukur pas warna sesuai
makasih atas kejujuran nya untuk barang dan kualitas bagus,"['makasih', 'jujur', 'barang', 'kualitas', 'bagus']",makasih jujur barang kualitas bagus
"yang belum terlanjur beli,, mending beli yang asli aja,,jgn yang kw kw gini,,,","['lanjur', 'beli', 'mending', 'beli', 'asli', 'aja jgn', 'kw', 'kw', 'gin']",lanjur beli mending beli asli aja jgn kw kw gin
"b3 yaaa, soal ny tk sesuai ekspetasi, size 44 tidak mungkin sekecil seperti ini, dan kualitas ny kurang baik, dan jauh berbeda dgn yang di promisikan","['b3', 'yaaa', 'ny', 'tk', 'sesuai', 'ekspetasi', 'size', '44', 'ini', 'kualitas', 'ny', 'baik', 'beda', 'dgn', 'promisikan']",b3 yaaa ny tk sesuai ekspetasi size 44 ini kualitas ny baik beda dgn promisikan
"mantap, recomended warna: bagus bentuk dan ukuran: bagus, sesuai","['mantap', 'recomended', 'warna', 'bagus', 'bentuk', 'ukur', 'bagus', 'sesuai']",mantap recomended warna bagus bentuk ukur bagus sesuai
"warna kurang sesuai sih , pesan abu tosca tapi ini lebih ke putih tidak sih ... bentuk dan ukuran: ukuran pas aroma: baru daya tahan pakai: belum di uji warna: kurang sesuai","['warna', 'sesuai', 'sih', '', 'pesan', 'abu', 'tosca', 'putih', 'sih', '', 'bentuk', 'ukur', 'ukur', 'pas', 'aroma', 'daya', 'tahan', 'pakai', 'uji', 'warna', 'sesuai']",warna sesuai sih  pesan abu tosca putih sih  bentuk ukur ukur pas aroma daya tahan pakai uji warna sesuai
"kirain bonus kaos kaki ternyata tidak, liat di ulasan nya bonus kaos kaki hhmm oke lah","['kirain', 'bonus', 'kaos', 'kaki', 'tidak', 'liat', 'ulas', 'bonus', 'kaos', 'kaki', 'hhmm', 'oke']",kirain bonus kaos kaki tidak liat ulas bonus kaos kaki hhmm oke
bentuk dan ukuran: sesuai dengan pessana ndk nyesal pesan di sini pokoknya mantap,"['bentuk', 'ukur', 'sesuai', 'pessana', 'ndk', 'nyesal', 'pesan', 'pokok', 'mantap']",bentuk ukur sesuai pessana ndk nyesal pesan pokok mantap
"kurang rapih di pengait tali a,smg aja awet","['rapih', 'kait', 'tali', 'a smg', 'aja', 'awet']",rapih kait tali a smg aja awet
bagus sesuai foto dan sesuai harga,"['bagus', 'sesuai', 'foto', 'sesuai', 'harga']",bagus sesuai foto sesuai harga
"sepatunya mantaf..cm packingnya kurang rapi, tapi okelah..kurir ramah dan amanah","['sepatu', 'mantaf cm', 'packingnya', 'rapi', 'oke kurir', 'ramah', 'amanah']",sepatu mantaf cm packingnya rapi oke kurir ramah amanah
"yang dipesan warna abu tosca yang datang warna hitam,nga sesuai kak","['pes', 'warna', 'abu', 'tosca', 'warna', 'hitam nga', 'sesuai', 'kak']",pes warna abu tosca warna hitam nga sesuai kak
talinya kotor terus kegedean sama sol di dalem tidak sesuai sama sepatuu,"['tali', 'kotor', 'gede', 'sol', 'dalem', 'sesuai', 'sepatuu']",tali kotor gede sol dalem sesuai sepatuu
"bau sablon nya kuat banget, tidak sesuai dengan videonya, bahan keras, ukurannya kecil","['bau', 'sablon', 'kuat', 'banget', 'sesuai', 'video', 'bahan', 'keras', 'ukur']",bau sablon kuat banget sesuai video bahan keras ukur
bentuk dan ukuran: 44 tapi rasa 42 kecil poll beasar sol.nya doang,"['bentuk', 'ukur', '44', '42', 'poll', 'beasar', 'sol nya', 'doang']",bentuk ukur 44 42 poll beasar sol nya doang
kok yang dikirim nomer 38 pas dipake juga kecil,"['kirim', 'nomer', '38', 'pas', 'dipake']",kirim nomer 38 pas dipake
bagus pengiriman cepat respon baik terimakasih ☺️,"['bagus', 'kirim', 'cepat', 'respon', 'terimakasih', '']",bagus kirim cepat respon terimakasih 
baru sekali pake lari lemnya sudah terbuka,"['pake', 'lari', 'lem', 'buka']",pake lari lem buka
ada lepas pada bagian belakang sepatu,"['lepas', 'sepatu']",lepas sepatu
tali sepatu tidak lengkap.. hanya 1 saja sehingga sepatu tidak dapat dipakai.,"['tali', 'sepatu', 'lengkap', '1', 'sepatu', 'pakai']",tali sepatu lengkap 1 sepatu pakai
suka banget,"['suka', 'banget']",suka banget
bentuk dan ukuran: kurang sama aroma: bau lem daya tahan pakai: baru beli belum di pakai entar sore kita coba,"['bentuk', 'ukur', 'aroma', 'bau', 'lem', 'daya', 'tahan', 'pakai', 'beli', 'pakai', 'entar', 'sore', 'coba']",bentuk ukur aroma bau lem daya tahan pakai beli pakai entar sore coba
ya lumayan dengan harga segitu,"['lumayan', 'harga', 'segitu']",lumayan harga segitu
bentuk dan ukuran: 39 aroma: sepatu hoka daya tahan pakai: bawah nya tidak sesuai ekspektasi katanya empuk ternyata tidak empuk warna: hitam,"['bentuk', 'ukur', '39', 'aroma', 'sepatu', 'hoka', 'daya', 'tahan', 'pakai', 'sesuai', 'ekspektasi', 'empuk', 'empuk', 'warna', 'hitam']",bentuk ukur 39 aroma sepatu hoka daya tahan pakai sesuai ekspektasi empuk empuk warna hitam
"terima kasih sepatunya keren,, suka banget","['terima', 'kasih', 'sepatu', 'keren', 'suka', 'banget']",terima kasih sepatu keren suka banget
kecewa kirim produk tidak sesuai pesanan....po warna hitam dikirim warna putih,"['kecewa', 'kirim', 'produk', 'sesuai', 'pesan po', 'warna', 'hitam', 'kirim', 'warna', 'putih']",kecewa kirim produk sesuai pesan po warna hitam kirim warna putih
saya beli sepatu baju tas celana boxer kenapa yang datang cuma sepatu aja uang dah masuk pdahal,"['beli', 'sepatu', 'baju', 'tas', 'celana', 'boxer', 'sepatu', 'aja', 'uang', 'dah', 'pdahal']",beli sepatu baju tas celana boxer sepatu aja uang dah pdahal
real pick nya keren bosku,"['real', 'pick', 'keren', 'bos']",real pick keren bos
bagus cuman bau karet nya yang menyengsarakan,"['bagus', 'cuman', 'bau', 'karet', 'sengsara']",bagus cuman bau karet sengsara
barang nya bagus tapi ada jaitan nye sedikit saja alas telapa kaki bagian dalam terlepas,"['barang', 'bagus', 'jaitan', 'nye', 'alas', 'tapa', 'kaki', 'lepas']",barang bagus jaitan nye alas tapa kaki lepas
"sangat puas dengan sepatu nya , sangat mewah kualitas ok , tidak di ragukan lagi sepatu paling ok buat lari.","['puas', 'sepatu', '', 'mewah', 'kualitas', 'ok', '', 'ragu', 'sepatu', 'ok', 'lari']",puas sepatu  mewah kualitas ok  ragu sepatu ok lari
"mantan, aku suka banget. namun sayang kekecilan. ap bisa tukar nomer 👍","['mantan', 'suka', 'banget', 'sayang', 'kecil', 'ap', 'tukar', 'nomer', '']",mantan suka banget sayang kecil ap tukar nomer 
terimakasih.. bagus tv ada jaitan terbuka,"['terimakasih', 'bagus', 'tv', 'jaitan', 'buka']",terimakasih bagus tv jaitan buka
kualitas bagus banget dan dapet free kaos kaki,"['kualitas', 'bagus', 'banget', 'dapet', 'free', 'kaos', 'kaki']",kualitas bagus banget dapet free kaos kaki
"bagus,lumayan tebel.cuman sedikit kecewa aja,saya pesen warna ungu yang datang warna putih.terus katanya dapat kaos kaki,ehh pas datang enggak dapat","['bagus lumayan', 'tebel cuman', 'kecewa', 'aja saya', 'sen', 'warna', 'ungu', 'warna', 'putih terus', 'kaos', 'kaki ehh', 'pas']",bagus lumayan tebel cuman kecewa aja saya sen warna ungu warna putih terus kaos kaki ehh pas
mantap sesuai dengan ekspektasi semoga awett,"['mantap', 'sesuai', 'ekspektasi', 'moga', 'awett']",mantap sesuai ekspektasi moga awett
bagus banget ringan katanya pri kaos kaki tapi tidak ada,"['bagus', 'banget', 'ringan', 'pri', 'kaos', 'kaki']",bagus banget ringan pri kaos kaki
untuk saya punya kaki lebar.. sempit di bagian tengah,"['kaki', 'lebar', 'sempit', 'tengah']",kaki lebar sempit tengah
pokonya josss buat di pake nyaman pokonya,"['poko', 'josss', 'pake', 'nyaman', 'poko']",poko josss pake nyaman poko
"barang bagus, sesuai dan pengiriman cepat","['barang', 'bagus', 'sesuai', 'kirim', 'cepat']",barang bagus sesuai kirim cepat
"spatu bgus ,hnya pngirimanx agak lma n spatu hmpir kekcilan padahal sudah psan no 42 .klau spatu puaslh dngan hrga sgitu","['spatu', 'bgus', 'hnya', 'pngirimanx', 'lma', 'spatu', 'hmpir', 'kekcilan', 'psan', 'no', '42', 'klau', 'spatu', 'puaslh', 'dngan', 'hrga', 'sgitu']",spatu bgus hnya pngirimanx lma spatu hmpir kekcilan psan no 42 klau spatu puaslh dngan hrga sgitu
"tampilan oke, jangan ragu, saran kalo mau beli ambil lebih 1uk dari uk biasa anda","['tampil', 'oke', 'ragu', 'saran', 'kalo', 'beli', 'ambil', '1uk', 'uk']",tampil oke ragu saran kalo beli ambil 1uk uk
"warna: sesuai dengan yang di gambar,, bentuk dan ukuran: ukuran sesuai dengan yang pesan","['warna', 'sesuai', 'gambar', 'bentuk', 'ukur', 'ukur', 'sesuai', 'pesan']",warna sesuai gambar bentuk ukur ukur sesuai pesan
bentuk dan ukuran: pas warna: sesuai gambar,"['bentuk', 'ukur', 'pas', 'warna', 'sesuai', 'gambar']",bentuk ukur pas warna sesuai gambar
barangnya bagus cocok dan pengantara tepat waktu,"['barang', 'bagus', 'cocok', 'antara', 'waktu']",barang bagus cocok antara waktu
sesuai ekspektasi lah pokoknya,"['sesuai', 'ekspektasi', 'pokok']",sesuai ekspektasi pokok
cocok sepatunya tpi kardus nya penyot bagus bngt untuk sepatu nya semoga awet,"['cocok', 'sepatu', 'tpi', 'kardus', 'penyot', 'bagus', 'bngt', 'sepatu', 'moga', 'awet']",cocok sepatu tpi kardus penyot bagus bngt sepatu moga awet
bagus banget men dan datengnya cepet banget,"['bagus', 'banget', 'men', 'datengnya', 'cepet', 'banget']",bagus banget men datengnya cepet banget
sepatunya bagus sesuai gambar👍 thank you 🥰,"['sepatu', 'bagus', 'sesuai', 'gambar', 'thank', 'you', '']",sepatu bagus sesuai gambar thank you 
"bagus, sesuai gambar semoga bisa tahan lama","['bagus', 'sesuai', 'gambar', 'moga', 'tahan']",bagus sesuai gambar moga tahan
"sudah datang sepatunya ringan, bagus dan keren banget, makanya co lagi, sukses ya 🥰🥰","['sepatu', 'ringan', 'bagus', 'keren', 'banget', 'co', 'lagi', 'sukses', '']",sepatu ringan bagus keren banget co lagi sukses 
bagus ringgan sesuai pesan dan sesuai foto,"['bagus', 'ringgan', 'sesuai', 'pesan', 'sesuai', 'foto']",bagus ringgan sesuai pesan sesuai foto
ya lumayan lah sesuai harga. buat sehari2 oke juga. cuma saran kalo beli mending size-nya dibesarin dikit. misal uk kaki 42 mending beli yang uk 43 👌👍👍,"['lumayan', 'sesuai', 'harga', 'sehari2', 'oke', 'juga', 'saran', 'kalo', 'beli', 'mending', 'size-nya', 'dibesarin', 'dikit', 'uk', 'kaki', '42', 'mending', 'beli', 'uk', '43', '']",lumayan sesuai harga sehari2 oke juga saran kalo beli mending size-nya dibesarin dikit uk kaki 42 mending beli uk 43 
"tidak ada kebijakan dalam melayani pembeli, tuker barang susah, baru kali ini beli barang di online kaya apa tau penjual nya, ini tuh kekecilan, pengen di ganti, jadi barang tidak kepake !!!","['bijak', 'layan', 'beli', 'tuker', 'barang', 'susah', 'beli', 'barang', 'online', 'kaya', 'tau', 'jual', 'nya', 'tuh', 'kecil', 'ken', 'ganti', 'barang', 'kepake', '']",bijak layan beli tuker barang susah beli barang online kaya tau jual nya tuh kecil ken ganti barang kepake 
sesuai apa yang di kerajang dan motif nya juga bagus,"['sesuai', 'kerajang', 'motif', 'bagus']",sesuai kerajang motif bagus
"yang lain dapat kaos kaki,saya tidak dapat kaos kaki","['kaos', 'kaki saya', 'kaos', 'kaki']",kaos kaki saya kaos kaki
dengan harga segitu kualitas tidak kaleng2,"['harga', 'segitu', 'kualitas', 'kaleng2']",harga segitu kualitas kaleng2
produk tdk sesuai gambar lem amburadul tdk rapih...dlman sepatu licin ...tdk terpakaii ...gagal,"['produk', 'tdk', 'sesuai', 'gambar', 'lem', 'amburadul', 'tdk', 'rapih dlman', 'sepatu', 'licin', 'tdk', 'pakai', 'gagal']",produk tdk sesuai gambar lem amburadul tdk rapih dlman sepatu licin tdk pakai gagal
barang bagus dan quality ckup 1 x pakek langsung robek tapak nya 🤣,"['barang', 'bagus', 'quality', 'ckup', '1', 'pakek', 'robek', 'tapak', '']",barang bagus quality ckup 1 pakek robek tapak 
harus naik 1 size bagi yang kaki nya besar,"['1', 'size', 'kaki']",1 size kaki
"kereeen bahan empuk,nyaman,semoga awet","['kereeen', 'bahan', 'empuk nyaman moga', 'awet']",kereeen bahan empuk nyaman moga awet
ukuran 42 nya gede bnget kya ukuran 45. jdi tidak sesuai. di pke juga g bisa gede banget...terpaksa masuk musium di rumah...,"['ukur', '42', 'gede', 'bnget', 'kya', 'ukur', '45', 'jdi', 'sesuai', 'pke', 'gede', 'banget paksa', 'musium', 'rumah']",ukur 42 gede bnget kya ukur 45 jdi sesuai pke gede banget paksa musium rumah
q kasih bintang 3 kk...soalnya agak kaku sama agak licin tidak keset,"['kasih', 'bintang', '3', 'kk soal', 'kaku', 'licin', 'keset']",kasih bintang 3 kk soal kaku licin keset
pengiriman cepat barang bagus,"['kirim', 'cepat', 'barang', 'bagus']",kirim cepat barang bagus
aroma: mantap daya tahan pakai: lumayan,"['aroma', 'mantap', 'daya', 'tahan', 'pakai', 'lumayan']",aroma mantap daya tahan pakai lumayan
"pas dikaki nyaman juga,pokoknya best deh","['pas', 'kaki', 'nyaman', 'juga pokok', 'best', 'deh']",pas kaki nyaman juga pokok best deh
biasa pake size 39 tapi ini kebesaran,"['pake', 'size', '39', 'besar']",pake size 39 besar
"barang nya bagus, dan pengiriman cepat","['barang', 'bagus', 'kirim', 'cepat']",barang bagus kirim cepat
keren spatunya sesuai pesannaya😍,"['keren', 'spatunya', 'sesuai', 'pesannaya']",keren spatunya sesuai pesannaya
"dengan harga segitu worth it bangeet,saya baru beli dan desainnya keren,semoga aja tahan lamaa","['harga', 'segitu', 'worth', 'it', 'bangeet saya', 'beli', 'desain', 'keren moga', 'aja', 'tahan', 'lamaa']",harga segitu worth it bangeet saya beli desain keren moga aja tahan lamaa
ini abu abu apa putih min,"['abu', 'abu', 'putih', 'min']",abu abu putih min
sayang kya ukuran 39 tpi blh lah,"['sayang', 'kya', 'ukur', '39', 'tpi', 'blh']",sayang kya ukur 39 tpi blh
dipesan warnah tdk sesuai...petugas tdk teliti dngn apa yang d pesan mulai dari ukuran warn dan kulitas,"['pes', 'warnah', 'tdk', 'sesuai tugas', 'tdk', 'teliti', 'dngn', 'pesan', 'ukur', 'warn', 'kulitas']",pes warnah tdk sesuai tugas tdk teliti dngn pesan ukur warn kulitas
g sesuai diskripsi dan gambar,"['sesuai', 'skripsi', 'gambar']",sesuai skripsi gambar
mantap sepatunya lumayan bagus,"['mantap', 'sepatu', 'lumayan', 'bagus']",mantap sepatu lumayan bagus
makasih sempatu nya sudah nyampe dan bagus lagi👍,"['makasih', 'sempatu', 'nyampe', 'bagus', 'lagi']",makasih sempatu nyampe bagus lagi
"lumayan dgn budget segini, semoga awet","['lumayan', 'dgn', 'budget', 'gin', 'moga', 'awet']",lumayan dgn budget gin moga awet
pilih ukuran 44 malah dikirim 42... kekecilan boss kuhh,"['pilih', 'ukur', '44', 'kirim', '42', 'kecil', 'boss', 'kuhh']",pilih ukur 44 kirim 42 kecil boss kuhh
ada minus nya.tali sepatu kotor,"['minus', 'nya tali', 'sepatu', 'kotor']",minus nya tali sepatu kotor
"sepatunya keren,suami saya sangat suka.lembut sekali","['sepatu', 'keren suami', 'suka lembut']",sepatu keren suami suka lembut
bangus banget susuan pesan,"['bangus', 'banget', 'susu', 'pesan']",bangus banget susu pesan
mantap bagus,"['mantap', 'bagus']",mantap bagus
sesuai pesenan,"['sesuai', 'sen']",sesuai sen
"mantap seh,,,","['mantap', 'seh']",mantap seh
jelek jahitan dalam nya,"['jelek', 'jahit']",jelek jahit
bagus sesuai pesanan mantap👍,"['bagus', 'sesuai', 'pesan', 'mantap']",bagus sesuai pesan mantap
kirain beneran panjangnya 29 cm,"['kirain', 'beneran', 'panjang', '29', 'cm']",kirain beneran panjang 29 cm
gacorrr🤟🤟,['gacorrr'],gacorrr
"tidak sesuai pesanan, sangat kecewa","['sesuai', 'pesan', 'kecewa']",sesuai pesan kecewa
sepatu nya bagus..,"['sepatu', 'bagus']",sepatu bagus
bajingan saya pesan ukuran 42 yang datang 39,"['bajing', 'pesan', 'ukur', '42', '39']",bajing pesan ukur 42 39
pengiriman cepat,"['kirim', 'cepat']",kirim cepat
bagus untuk harga segitu. good,"['bagus', 'harga', 'segitu', 'good']",bagus harga segitu good
bagus sih untuk harga segitu 🤫,"['bagus', 'sih', 'harga', 'segitu', '']",bagus sih harga segitu 
bentuk dan ukuran: pas sesuai,"['bentuk', 'ukur', 'pas', 'sesuai']",bentuk ukur pas sesuai
sangat nyaman dipakai,"['nyaman', 'pakai']",nyaman pakai
mayan,['mayan'],mayan
barang sesuai deskripsi,"['barang', 'sesuai', 'deskripsi']",barang sesuai deskripsi
warna: all in bagus,"['warna', 'all', 'in', 'bagus']",warna all in bagus
spatu nya sangat sesuai terima kasih,"['spatu', 'sesuai', 'terima', 'kasih']",spatu sesuai terima kasih
bentuk dan ukuran: mantapss,"['bentuk', 'ukur', 'mantapss']",bentuk ukur mantapss
pas susuay pesanan tks,"['pas', 'susuay', 'pesan', 'tks']",pas susuay pesan tks
pas di kaki,"['pas', 'kaki']",pas kaki
kualitas bagus,"['kualitas', 'bagus']",kualitas bagus
saya pesen abu abu datang mala putih nh,"['sen', 'abu', 'abu', 'mala', 'putih', 'nh']",sen abu abu mala putih nh
sangat bgus kualitasnya,"['bgus', 'kualitas']",bgus kualitas
cpt sampenya bagus banget ya,"['cpt', 'sampenya', 'bagus', 'banget']",cpt sampenya bagus banget
"paket sudah diterima dg baik, mantap sepatunya 🙏","['paket', 'terima', 'dg', 'baik', 'mantap', 'sepatu', '']",paket terima dg baik mantap sepatu 
keren. udah nyampe .makasih ya,"['keren', 'udah', 'nyampe', 'makasih']",keren udah nyampe makasih
tidak dapat kaos kaki,"['kaos', 'kaki']",kaos kaki
bahan nya kurang bagus,"['bahan', 'bagus']",bahan bagus
bagus keren sepatunya buat jogging,"['bagus', 'keren', 'sepatu', 'jogging']",bagus keren sepatu jogging
semoga awet,"['moga', 'awet']",moga awet
jossss,['jossss'],jossss
🌟 5,"['', '5']", 5
mantap barangnya sesuai,"['mantap', 'barang', 'sesuai']",mantap barang sesuai
mantap barang sesuai ...,"['mantap', 'barang', 'sesuai', '']",mantap barang sesuai 
barang nya bagus,"['barang', 'bagus']",barang bagus
cakep barangnya,"['cakep', 'barang']",cakep barang
barang bagus mantap,"['barang', 'bagus', 'mantap']",barang bagus mantap
bagus sesuai pesanan,"['bagus', 'sesuai', 'pesan']",bagus sesuai pesan
pengiriman sangat cepat,"['kirim', 'cepat']",kirim cepat
bgus,['bgus'],bgus
kerennnnn,['kerennnnn'],kerennnnn
bagus sangat memuaskan.,"['bagus', 'muas']",bagus muas
bagus sesuai dengan harga,"['bagus', 'sesuai', 'harga']",bagus sesuai harga
bagus banget,"['bagus', 'banget']",bagus banget
?? 😢kalo tau gini mending beli ortus,"['', 'kalo', 'tau', 'gin', 'mending', 'beli', 'ortus']", kalo tau gin mending beli ortus
lumayan bagus dengan harga segitu,"['lumayan', 'bagus', 'harga', 'segitu']",lumayan bagus harga segitu
sepatu sangat bagus,"['sepatu', 'bagus']",sepatu bagus
pengiriman cepat . good,"['kirim', 'cepat', '', 'good']",kirim cepat  good
barang audah saya terima,"['barang', 'audah', 'terima']",barang audah terima
sepatu nyaa keren cerah,"['sepatu', 'nyaa', 'keren', 'cerah']",sepatu nyaa keren cerah
sangat sesuai,['sesuai'],sesuai
bagusss sesuaii hrg,"['bagusss', 'sesuai', 'hrg']",bagusss sesuai hrg
mkasii sepatu nyaa bguss,"['mkasii', 'sepatu', 'nyaa', 'bguss']",mkasii sepatu nyaa bguss
produknya bagus,"['produk', 'bagus']",produk bagus
bagus banget anak suka,"['bagus', 'banget', 'anak', 'suka']",bagus banget anak suka
keras kali sepatu nya,"['keras', 'sepatu']",keras sepatu
next order ⭐⭐⭐⭐⭐,"['next', 'order', '']",next order 
sangat bagus,['bagus'],bagus
sangat bagus,['bagus'],bagus
bilangnya abu yang sampai putih,"['bilang', 'abu', 'putih']",bilang abu putih
mantap sesuai dengan harga,"['mantap', 'sesuai', 'harga']",mantap sesuai harga
sesuai gambar,"['sesuai', 'gambar']",sesuai gambar
sesuai,['sesuai'],sesuai
p,[],
sesuai harga,"['sesuai', 'harga']",sesuai harga
baguss,['baguss'],baguss
sepatu nyaaa bagussss sller,"['sepatu', 'nyaaa', 'bagussss', 'sller']",sepatu nyaaa bagussss sller
sesuai dengan harga,"['sesuai', 'harga']",sesuai harga
oke,['oke'],oke
bagus.,['bagus'],bagus
sagat bagus,"['sagat', 'bagus']",sagat bagus
baguuss,['baguuss'],baguuss
biar bintang aja yang berbicara,"['biar', 'bintang', 'aja', 'bicara']",biar bintang aja bicara
lumayan untuk harga segitu,"['lumayan', 'harga', 'segitu']",lumayan harga segitu
lumayan lah buat olga,"['lumayan', 'olga']",lumayan olga
makasih sepatunya bagus,"['makasih', 'sepatu', 'bagus']",makasih sepatu bagus
"keren,",['keren'],keren
