,Akurasi,Presisi,Recall,F1-Score
3,0.8297749567224466,0.8297749567224466,1.0,0.9069613699722076
5,0.829774746427778,0.829774746427778,1.0,0.9069559822636929
10,0.8297739736179043,0.8297739736179043,1.0,0.906909859472502
