K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,F1_Score_Asli,F1_Score_Palsu,F1_Macro,Confusion_Flat
3,1,10,16,0.2,0.8573875427246094,0.8373425006866455,0.8283261656761169,0.3436380624771118,0.37683767080307,0.8703931651196605,0.8373424971363116,0.8729306487695749,0.7740652346857597,0.8234979417276673,"[[1951, 483], [85, 973]]"
3,2,10,16,0.2,0.6941781044006348,0.7436264753341675,0.735336184501648,0.6012235283851624,0.5200986862182617,0.7508127602941616,0.7436264680607276,0.812329628853009,0.5955716222322639,0.7039506255426364,"[[1937, 496], [399, 659]]"
3,3,10,16,0.2,0.8492009043693542,0.8519048690795898,0.8669527769088745,0.3475455641746521,0.3337402641773224,0.8548449644930656,0.8519048983099399,0.8923589423277118,0.7627351996328591,0.8275470709802855,"[[2143, 290], [227, 831]]"
3,1,10,16,0.3,0.8292989134788513,0.8313287496566772,0.8254649639129639,0.3959406912326813,0.3719687759876251,0.8569056640564273,0.8313287514318443,0.8701785320696496,0.7592970984879445,0.814737815278797,"[[1974, 460], [129, 929]]"
3,2,10,16,0.3,0.8573059439659119,0.8458894491195679,0.8555078506469727,0.3399845063686371,0.3434457182884216,0.8457265902203327,0.8458894299627614,0.8895277207392197,0.7452651515151515,0.8173964361271856,"[[2166, 267], [271, 787]]"
3,3,10,16,0.3,0.8453196287155151,0.8395875096321106,0.8454935550689697,0.3545090556144714,0.3702382743358612,0.8628052071155096,0.8395875107419077,0.8770311813790075,0.7693574958813838,0.8231943386301956,"[[1997, 436], [124, 934]]"
3,1,10,16,0.5,0.7187713980674744,0.8210194706916809,0.8082975745201111,0.5423031449317932,0.4054726362228393,0.8459371016621291,0.8210194730813287,0.8625467341104025,0.7435371358227328,0.8030419349665676,"[[1961, 473], [152, 906]]"
3,2,10,16,0.5,0.8554794788360596,0.8344314098358154,0.8526466488838196,0.3492033183574676,0.3569580912590027,0.853040203467002,0.8344313950157548,0.8744024337244676,0.7571428571428571,0.8157726454336623,"[[2012, 421], [157, 901]]"
3,3,10,16,0.5,0.5319634675979614,0.613291323184967,0.5951359272003174,0.6903327107429504,0.6870711445808411,0.7201757453374377,0.6132913205385276,0.6613146011038635,0.5493991989319092,0.6053569000178864,"[[1318, 1115], [235, 823]]"
3,1,10,32,0.2,0.8455126881599426,0.8413516879081726,0.8240343332290649,0.363623559474945,0.351504772901535,0.8649167190030699,0.8413516609392898,0.8782952548330404,0.772203947368421,0.8252496011007306,"[[1999, 435], [119, 939]]"
