K,Fold,Epoch,Batch,Dropout,Confusion_Flat
5,5,10,32,0.3,"[[1186, 274], [82, 552]]"
5,1,10,32,0.5,"[[1217, 243], [95, 540]]"
5,2,10,32,0.5,"[[1332, 128], [148, 487]]"
5,3,10,32,0.5,"[[1169, 291], [78, 557]]"
5,4,10,32,0.5,"[[1267, 193], [141, 494]]"
5,5,10,32,0.5,"[[1066, 394], [47, 587]]"
5,1,10,64,0.2,"[[1165, 295], [72, 563]]"
5,2,10,64,0.2,"[[1277, 183], [140, 495]]"
5,3,10,64,0.2,"[[1090, 370], [82, 553]]"
5,4,10,64,0.2,"[[1226, 234], [114, 521]]"
5,5,10,64,0.2,"[[0, 1460], [0, 634]]"
5,1,10,64,0.3,"[[1214, 246], [107, 528]]"
5,2,10,64,0.3,"[[1115, 345], [54, 581]]"
5,3,10,64,0.3,"[[1232, 228], [102, 533]]"
5,4,10,64,0.3,"[[1231, 229], [122, 513]]"
5,5,10,64,0.3,"[[1248, 212], [130, 504]]"
5,1,10,64,0.5,"[[1163, 297], [73, 562]]"
5,2,10,64,0.5,"[[1036, 424], [48, 587]]"
5,3,10,64,0.5,"[[1213, 247], [127, 508]]"
5,4,10,64,0.5,"[[1145, 315], [119, 516]]"
5,5,10,64,0.5,"[[882, 578], [38, 596]]"
5,1,20,16,0.2,"[[1236, 224], [57, 578]]"
5,2,20,16,0.2,"[[1199, 261], [66, 569]]"
5,3,20,16,0.2,"[[1184, 276], [69, 566]]"
5,4,20,16,0.2,"[[1241, 219], [57, 578]]"
5,5,20,16,0.2,"[[1284, 176], [85, 549]]"
5,1,20,16,0.3,"[[0, 1460], [0, 635]]"
5,2,20,16,0.3,"[[1247, 213], [67, 568]]"
5,3,20,16,0.3,"[[1185, 275], [96, 539]]"
5,4,20,16,0.3,"[[1249, 211], [68, 567]]"
5,5,20,16,0.3,"[[1290, 170], [94, 540]]"
5,1,20,16,0.5,"[[1311, 149], [89, 546]]"
5,2,20,16,0.5,"[[1273, 187], [88, 547]]"
5,3,20,16,0.5,"[[999, 461], [101, 534]]"
5,4,20,16,0.5,"[[1261, 199], [66, 569]]"
5,5,20,16,0.5,"[[1312, 148], [113, 521]]"
5,1,20,32,0.2,"[[1207, 253], [48, 587]]"
5,2,20,32,0.2,"[[1251, 209], [77, 558]]"
5,3,20,32,0.2,"[[1188, 272], [67, 568]]"
5,4,20,32,0.2,"[[1177, 283], [77, 558]]"
5,5,20,32,0.2,"[[1221, 239], [56, 578]]"
5,1,20,32,0.3,"[[1237, 223], [80, 555]]"
5,2,20,32,0.3,"[[1192, 268], [48, 587]]"
5,3,20,32,0.3,"[[1176, 284], [76, 559]]"
5,4,20,32,0.3,"[[1204, 256], [64, 571]]"
5,5,20,32,0.3,"[[1234, 226], [80, 554]]"
5,1,20,32,0.5,"[[1304, 156], [103, 532]]"
5,2,20,32,0.5,"[[1164, 296], [46, 589]]"
5,3,20,32,0.5,"[[1197, 263], [80, 555]]"
5,4,20,32,0.5,"[[1191, 269], [39, 596]]"
5,5,20,32,0.5,"[[1245, 215], [70, 564]]"
5,1,20,64,0.2,"[[1183, 277], [70, 565]]"
5,2,20,64,0.2,"[[1218, 242], [76, 559]]"
5,3,20,64,0.2,"[[1125, 335], [62, 573]]"
5,4,20,64,0.2,"[[1230, 230], [99, 536]]"
5,5,20,64,0.2,"[[1250, 210], [92, 542]]"
5,1,20,64,0.3,"[[1307, 153], [106, 529]]"
5,2,20,64,0.3,"[[1187, 273], [59, 576]]"
5,3,20,64,0.3,"[[1212, 248], [91, 544]]"
5,4,20,64,0.3,"[[1157, 303], [48, 587]]"
5,5,20,64,0.3,"[[1252, 208], [69, 565]]"
5,1,20,64,0.5,"[[1214, 246], [76, 559]]"
5,2,20,64,0.5,"[[1242, 218], [74, 561]]"
5,3,20,64,0.5,"[[1284, 176], [147, 488]]"
5,4,20,64,0.5,"[[1203, 257], [63, 572]]"
5,5,20,64,0.5,"[[1261, 199], [86, 548]]"
5,1,30,16,0.2,"[[1183, 277], [60, 575]]"
5,2,30,16,0.2,"[[1277, 183], [82, 553]]"
5,3,30,16,0.2,"[[1224, 236], [72, 563]]"
5,4,30,16,0.2,"[[1248, 212], [63, 572]]"
5,5,30,16,0.2,"[[1258, 202], [90, 544]]"
5,1,30,16,0.3,"[[1286, 174], [72, 563]]"
5,2,30,16,0.3,"[[1157, 303], [55, 580]]"
5,3,30,16,0.3,"[[1259, 201], [111, 524]]"
5,4,30,16,0.3,"[[1258, 202], [74, 561]]"
5,5,30,16,0.3,"[[1273, 187], [69, 565]]"
5,1,30,16,0.5,"[[1299, 161], [88, 547]]"
5,2,30,16,0.5,"[[1189, 271], [41, 594]]"
5,3,30,16,0.5,"[[1186, 274], [57, 578]]"
5,4,30,16,0.5,"[[1265, 195], [69, 566]]"
5,5,30,16,0.5,"[[1255, 205], [95, 539]]"
5,1,30,32,0.2,"[[1228, 232], [62, 573]]"
5,2,30,32,0.2,"[[1228, 232], [70, 565]]"
5,3,30,32,0.2,"[[1134, 326], [75, 560]]"
5,4,30,32,0.2,"[[1239, 221], [55, 580]]"
5,5,30,32,0.2,"[[1302, 158], [124, 510]]"
5,1,30,32,0.3,"[[1256, 204], [67, 568]]"
5,2,30,32,0.3,"[[1278, 182], [87, 548]]"
5,3,30,32,0.3,"[[1109, 351], [57, 578]]"
5,4,30,32,0.3,"[[1197, 263], [52, 583]]"
5,5,30,32,0.3,"[[1248, 212], [73, 561]]"
5,1,30,32,0.5,"[[1334, 126], [95, 540]]"
5,2,30,32,0.5,"[[1220, 240], [54, 581]]"
5,3,30,32,0.5,"[[1233, 227], [93, 542]]"
5,4,30,32,0.5,"[[1276, 184], [79, 556]]"
5,5,30,32,0.5,"[[1253, 207], [70, 564]]"
5,1,30,64,0.2,"[[1292, 168], [98, 537]]"
5,2,30,64,0.2,"[[1157, 303], [44, 591]]"
5,3,30,64,0.2,"[[1213, 247], [84, 551]]"
5,4,30,64,0.2,"[[1164, 296], [42, 593]]"
5,5,30,64,0.2,"[[1332, 128], [134, 500]]"
5,1,30,64,0.3,"[[1345, 115], [167, 468]]"
5,2,30,64,0.3,"[[1185, 275], [48, 587]]"
5,3,30,64,0.3,"[[1204, 256], [80, 555]]"
5,4,30,64,0.3,"[[1176, 284], [169, 466]]"
5,5,30,64,0.3,"[[1230, 230], [61, 573]]"
5,1,30,64,0.5,"[[1248, 212], [82, 553]]"
5,2,30,64,0.5,"[[1191, 269], [52, 583]]"
5,3,30,64,0.5,"[[1277, 183], [98, 537]]"
5,4,30,64,0.5,"[[1268, 192], [79, 556]]"
5,5,30,64,0.5,"[[1174, 286], [64, 570]]"
10,1,10,16,0.2,"[[621, 109], [41, 277]]"
10,2,10,16,0.2,"[[600, 130], [33, 285]]"
10,3,10,16,0.2,"[[599, 131], [43, 275]]"
10,4,10,16,0.2,"[[641, 89], [62, 256]]"
10,5,10,16,0.2,"[[605, 125], [40, 277]]"
10,6,10,16,0.2,"[[613, 117], [51, 266]]"
10,7,10,16,0.2,"[[605, 125], [106, 211]]"
10,8,10,16,0.2,"[[518, 212], [19, 298]]"
10,9,10,16,0.2,"[[606, 124], [18, 299]]"
10,10,10,16,0.2,"[[602, 128], [58, 259]]"
10,1,10,16,0.3,"[[560, 170], [16, 302]]"
10,2,10,16,0.3,"[[647, 83], [53, 265]]"
10,3,10,16,0.3,"[[598, 132], [30, 288]]"
10,4,10,16,0.3,"[[607, 123], [61, 257]]"
10,5,10,16,0.3,"[[577, 153], [43, 274]]"
10,6,10,16,0.3,"[[582, 148], [31, 286]]"
10,7,10,16,0.3,"[[604, 126], [34, 283]]"
10,8,10,16,0.3,"[[569, 161], [16, 301]]"
10,9,10,16,0.3,"[[609, 121], [25, 292]]"
10,10,10,16,0.3,"[[614, 116], [52, 265]]"
10,1,10,16,0.5,"[[589, 141], [25, 293]]"
10,2,10,16,0.5,"[[642, 88], [59, 259]]"
10,3,10,16,0.5,"[[617, 113], [29, 289]]"
10,4,10,16,0.5,"[[625, 105], [56, 262]]"
10,5,10,16,0.5,"[[609, 121], [46, 271]]"
10,6,10,16,0.5,"[[592, 138], [31, 286]]"
10,7,10,16,0.5,"[[200, 530], [56, 261]]"
10,8,10,16,0.5,"[[604, 126], [25, 292]]"
10,9,10,16,0.5,"[[611, 119], [29, 288]]"
10,10,10,16,0.5,"[[625, 105], [59, 258]]"
10,1,10,32,0.2,"[[644, 86], [36, 282]]"
10,2,10,32,0.2,"[[604, 126], [46, 272]]"
10,3,10,32,0.2,"[[599, 131], [25, 293]]"
10,4,10,32,0.2,"[[629, 101], [58, 260]]"
10,5,10,32,0.2,"[[592, 138], [37, 280]]"
10,6,10,32,0.2,"[[599, 131], [38, 279]]"
10,7,10,32,0.2,"[[607, 123], [34, 283]]"
10,8,10,32,0.2,"[[633, 97], [42, 275]]"
10,9,10,32,0.2,"[[581, 149], [19, 298]]"
10,10,10,32,0.2,"[[632, 98], [69, 248]]"
10,1,10,32,0.3,"[[568, 162], [31, 287]]"
10,2,10,32,0.3,"[[596, 134], [33, 285]]"
10,3,10,32,0.3,"[[577, 153], [23, 295]]"
10,4,10,32,0.3,"[[580, 150], [34, 284]]"
10,5,10,32,0.3,"[[610, 120], [52, 265]]"
10,6,10,32,0.3,"[[582, 148], [32, 285]]"
10,7,10,32,0.3,"[[611, 119], [53, 264]]"
10,8,10,32,0.3,"[[615, 115], [37, 280]]"
10,9,10,32,0.3,"[[425, 305], [43, 274]]"
10,10,10,32,0.3,"[[626, 104], [68, 249]]"
10,1,10,32,0.5,"[[730, 0], [308, 10]]"
10,2,10,32,0.5,"[[649, 81], [49, 269]]"
10,3,10,32,0.5,"[[596, 134], [26, 292]]"
10,4,10,32,0.5,"[[606, 124], [43, 275]]"
10,5,10,32,0.5,"[[607, 123], [56, 261]]"
10,6,10,32,0.5,"[[612, 118], [56, 261]]"
10,7,10,32,0.5,"[[628, 102], [49, 268]]"
10,8,10,32,0.5,"[[604, 126], [28, 289]]"
10,9,10,32,0.5,"[[637, 93], [37, 280]]"
10,10,10,32,0.5,"[[445, 285], [76, 241]]"
10,1,10,64,0.2,"[[600, 130], [32, 286]]"
10,2,10,64,0.2,"[[660, 70], [56, 262]]"
10,3,10,64,0.2,"[[635, 95], [52, 266]]"
10,4,10,64,0.2,"[[579, 151], [38, 280]]"
10,5,10,64,0.2,"[[629, 101], [76, 241]]"
10,6,10,64,0.2,"[[602, 128], [48, 269]]"
10,7,10,64,0.2,"[[600, 130], [42, 275]]"
10,8,10,64,0.2,"[[621, 109], [51, 266]]"
10,9,10,64,0.2,"[[620, 110], [40, 277]]"
10,10,10,64,0.2,"[[600, 130], [61, 256]]"
10,1,10,64,0.3,"[[643, 87], [60, 258]]"
10,2,10,64,0.3,"[[651, 79], [63, 255]]"
10,3,10,64,0.3,"[[568, 162], [29, 289]]"
10,4,10,64,0.3,"[[574, 156], [49, 269]]"
10,5,10,64,0.3,"[[637, 93], [72, 245]]"
10,6,10,64,0.3,"[[613, 117], [51, 266]]"
10,7,10,64,0.3,"[[621, 109], [69, 248]]"
10,8,10,64,0.3,"[[730, 0], [315, 2]]"
10,9,10,64,0.3,"[[590, 140], [33, 284]]"
10,10,10,64,0.3,"[[576, 154], [41, 276]]"
10,1,10,64,0.5,"[[597, 133], [39, 279]]"
10,2,10,64,0.5,"[[580, 150], [34, 284]]"
10,3,10,64,0.5,"[[576, 154], [52, 266]]"
10,4,10,64,0.5,"[[578, 152], [46, 272]]"
10,5,10,64,0.5,"[[575, 155], [49, 268]]"
10,6,10,64,0.5,"[[474, 256], [20, 297]]"
10,7,10,64,0.5,"[[572, 158], [43, 274]]"
10,8,10,64,0.5,"[[577, 153], [38, 279]]"
10,9,10,64,0.5,"[[594, 136], [36, 281]]"
10,10,10,64,0.5,"[[621, 109], [54, 263]]"
10,1,20,16,0.2,"[[597, 133], [18, 300]]"
10,2,20,16,0.2,"[[592, 138], [20, 298]]"
10,3,20,16,0.2,"[[607, 123], [21, 297]]"
10,4,20,16,0.2,"[[594, 136], [27, 291]]"
10,5,20,16,0.2,"[[598, 132], [44, 273]]"
10,6,20,16,0.2,"[[625, 105], [64, 253]]"
10,7,20,16,0.2,"[[598, 132], [24, 293]]"
10,8,20,16,0.2,"[[598, 132], [17, 300]]"
10,9,20,16,0.2,"[[626, 104], [32, 285]]"
10,10,20,16,0.2,"[[612, 118], [38, 279]]"
10,1,20,16,0.3,"[[618, 112], [32, 286]]"
10,2,20,16,0.3,"[[638, 92], [46, 272]]"
10,3,20,16,0.3,"[[610, 120], [26, 292]]"
10,4,20,16,0.3,"[[623, 107], [36, 282]]"
10,5,20,16,0.3,"[[602, 128], [33, 284]]"
10,6,20,16,0.3,"[[645, 85], [48, 269]]"
10,7,20,16,0.3,"[[615, 115], [32, 285]]"
10,8,20,16,0.3,"[[634, 96], [32, 285]]"
10,9,20,16,0.3,"[[627, 103], [31, 286]]"
10,10,20,16,0.3,"[[636, 94], [49, 268]]"
