K,Fold,Epoch,Batch,Dropout,Confusion_Flat
10,5,30,64,0.3,"[[595, 135], [36, 281]]"
10,6,30,64,0.3,"[[626, 104], [53, 264]]"
10,7,30,64,0.3,"[[654, 76], [45, 272]]"
10,8,30,64,0.3,"[[614, 116], [29, 288]]"
10,9,30,64,0.3,"[[629, 101], [33, 284]]"
10,10,30,64,0.3,"[[626, 104], [47, 270]]"
10,1,30,64,0.5,"[[615, 115], [23, 295]]"
10,2,30,64,0.5,"[[648, 82], [37, 281]]"
10,3,30,64,0.5,"[[628, 102], [33, 285]]"
10,4,30,64,0.5,"[[633, 97], [49, 269]]"
10,5,30,64,0.5,"[[584, 146], [28, 289]]"
10,6,30,64,0.5,"[[626, 104], [51, 266]]"
10,7,30,64,0.5,"[[608, 122], [27, 290]]"
10,8,30,64,0.5,"[[639, 91], [38, 279]]"
10,9,30,64,0.5,"[[623, 107], [29, 288]]"
10,10,30,64,0.5,"[[639, 91], [53, 264]]"
