K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,Durasi (detik)
3,1,10,16,0.2,0.8573875427246094,0.8373425006866455,0.8283261656761169,0.3436380624771118,0.37683767080307,0.8703931651196605,0.8373424971363116,255.09900784492493
3,2,10,16,0.2,0.6941781044006348,0.7436264753341675,0.735336184501648,0.6012235283851624,0.5200986862182617,0.7508127602941616,0.7436264680607276,214.23628759384155
3,3,10,16,0.2,0.8492009043693542,0.8519048690795898,0.8669527769088745,0.3475455641746521,0.3337402641773224,0.8548449644930656,0.8519048983099399,231.1731822490692
3,1,10,16,0.3,0.8292989134788513,0.8313287496566772,0.8254649639129639,0.3959406912326813,0.3719687759876251,0.8569056640564273,0.8313287514318443,283.3908839225769
3,2,10,16,0.3,0.8573059439659119,0.8458894491195679,0.8555078506469727,0.3399845063686371,0.3434457182884216,0.8457265902203327,0.8458894299627614,278.2605438232422
3,3,10,16,0.3,0.8453196287155151,0.8395875096321106,0.8454935550689697,0.3545090556144714,0.3702382743358612,0.8628052071155096,0.8395875107419077,237.82687139511108
3,1,10,16,0.5,0.7187713980674744,0.8210194706916809,0.8082975745201111,0.5423031449317932,0.4054726362228393,0.8459371016621291,0.8210194730813287,218.45500659942627
3,2,10,16,0.5,0.8554794788360596,0.8344314098358154,0.8526466488838196,0.3492033183574676,0.3569580912590027,0.853040203467002,0.8344313950157548,295.84793400764465
3,3,10,16,0.5,0.5319634675979614,0.613291323184967,0.5951359272003174,0.6903327107429504,0.6870711445808411,0.7201757453374377,0.6132913205385276,224.91054701805115
3,1,10,32,0.2,0.8455126881599426,0.8413516879081726,0.8240343332290649,0.363623559474945,0.351504772901535,0.8649167190030699,0.8413516609392898,167.87106943130493
3,2,10,32,0.2,0.8405250906944275,0.8249785304069519,0.8469241857528687,0.3670959770679474,0.3728635013103485,0.8497381565267924,0.8249785161844744,173.49995231628418
3,3,10,32,0.2,0.8365296721458435,0.8401604294776917,0.8497853875160217,0.3695663809776306,0.3511025309562683,0.8576002264077386,0.8401604124892581,161.3022220134735
3,1,10,32,0.3,0.8445992469787598,0.8313287496566772,0.8154506683349609,0.3666586577892303,0.3806323707103729,0.8659632182938742,0.8313287514318443,166.6812264919281
3,2,10,32,0.3,0.8408675789833069,0.819822371006012,0.8354792594909668,0.3656867742538452,0.3995358645915985,0.8483004304586901,0.8198224004583214,175.617445230484
3,3,10,32,0.3,0.8228310346603394,0.8209682106971741,0.8197425007820129,0.4052598476409912,0.3980998694896698,0.8519242092479192,0.8209682039530221,175.87178111076355
3,1,10,32,0.5,0.8355789184570312,0.8419243693351746,0.8383404612541199,0.3762901425361633,0.3415919244289398,0.8591087460880931,0.8419243986254296,164.95526266098022
3,2,10,32,0.5,0.850570797920227,0.8507590889930725,0.8597997426986694,0.3503725528717041,0.3439520001411438,0.8551889774427287,0.8507590948152391,157.09626698493958
3,3,10,32,0.5,0.8445205688476562,0.8224004507064819,0.822603702545166,0.3609717488288879,0.3930885195732116,0.8557953844757568,0.8224004583213979,154.64906692504883
3,1,10,64,0.2,0.82986980676651,0.8439289927482605,0.8197425007820129,0.3765478134155273,0.341520607471466,0.8580742633590007,0.8439289805269187,143.5870270729065
3,2,10,64,0.2,0.803196370601654,0.7891721725463867,0.7997138500213623,0.441182792186737,0.4416931867599487,0.8241013476834158,0.7891721569750788,143.57078170776367
3,3,10,64,0.2,0.7799086570739746,0.7943282723426819,0.8197425007820129,0.4724619388580322,0.4308085143566131,0.817705535255514,0.7943282727012317,141.99109745025635
3,1,10,64,0.3,0.7847682237625122,0.7247995138168335,0.7424892783164978,0.4721471667289734,0.5511178970336914,0.8237823286248069,0.7247995418098511,143.938072681427
3,2,10,64,0.3,0.8343607187271118,0.8075050115585327,0.8397710919380188,0.3868815898895263,0.3916466832160949,0.8400509575572235,0.8075050128902893,131.0471067428589
3,3,10,64,0.3,0.792694091796875,0.792896032333374,0.8040057420730591,0.4421500265598297,0.4301882684230804,0.8261358058661896,0.792896018332856,165.69216012954712
3,1,10,64,0.5,0.5151861310005188,0.6970217823982239,0.6967095732688904,0.6981564164161682,0.6664752960205078,0.4858393395343833,0.6970217640320733,134.22698640823364
3,2,10,64,0.5,0.8278538584709167,0.8029217720031738,0.8354792594909668,0.3928419351577759,0.4125378131866455,0.837557441509976,0.8029217989114866,153.3473138809204
3,3,10,64,0.5,0.7753424644470215,0.7991979122161865,0.7982832789421082,0.4788660705089569,0.4666433930397033,0.8013009495905093,0.7991979375537095,155.7998173236847
3,1,20,16,0.2,0.8812514543533325,0.8528063893318176,0.8297567963600159,0.2886597812175751,0.3481612205505371,0.8830833522390065,0.8528064146620847,479.8556504249573
3,2,20,16,0.2,0.8680365085601807,0.8633629083633423,0.8769670724868774,0.3181160986423492,0.3143959641456604,0.8670931570103854,0.8633629332569465,448.20996260643005
3,3,20,16,0.2,0.876369833946228,0.8484674692153931,0.8454935550689697,0.2951183617115021,0.3407164514064789,0.8742297394125113,0.8484674878258379,528.2561802864075
3,1,20,16,0.3,0.8505366444587708,0.8439289927482605,0.8426323533058167,0.3548933863639831,0.3527292609214782,0.8683483005853045,0.8439289805269187,451.23650097846985
3,2,20,16,0.3,0.8772830963134766,0.8639358282089233,0.8898426294326782,0.2964410483837127,0.2987343370914459,0.8681046571597131,0.8639358350042967,463.66332364082336
