K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Precision,Recall,Durasi (detik)
3.0,1.0,10.0,16.0,0.2,0.6973,0.6973,0.6848,0.6848,0.6973,0.6973,127.93
3.0,1.0,10.0,16.0,0.2,0.697,0.697,0.692,0.692,0.697,0.697,30.2
3.0,1.0,10.0,16.0,0.2,0.4952,0.4999,0.6933,0.6932,0.4999,0.4999,97.26
3.0,1.0,10.0,16.0,0.4,0.9547,0.9277,0.1426,0.2186,0.9277051982140496,0.9276761865625642,340.36
3.0,2.0,10.0,16.0,0.4,0.4956,0.4999,0.6949,0.6932,0.24989727786446367,0.4998972673104582,27.98
