K,Fold,Epoch,Batch,Dropout,Label,Precision,Recall,F1-Score,Support
3,1,10,16,0.2,asli,0.9516431924882629,0.8327855382087099,0.8882559158632778,2434.0
3,1,10,16,0.2,palsu,0.7011747430249633,0.9026465028355387,0.7892561983471075,1058.0
3,2,10,16,0.2,asli,0.9366430260047282,0.8142211261816688,0.8711521547933158,2433.0
3,2,10,16,0.2,palsu,0.6715116279069767,0.8733459357277883,0.7592440427280197,1058.0
3,3,10,16,0.2,asli,0.9269366197183099,0.8655980271270037,0.8952178533475027,2433.0
3,3,10,16,0.2,palsu,0.7317473338802297,0.8431001890359168,0.7834870443566095,1058.0
3,1,10,16,0.3,asli,0.9385650224215246,0.8599013968775678,0.8975128644939966,2434.0
3,1,10,16,0.3,palsu,0.7297939778129953,0.8705103969754253,0.7939655172413793,1058.0
3,2,10,16,0.3,asli,0.933568193256165,0.7624332100287711,0.8393665158371041,2433.0
3,2,10,16,0.3,palsu,0.6156914893617021,0.8752362948960303,0.7228727556596409,1058.0
3,3,10,16,0.3,asli,0.8145780051150895,0.7854500616522812,0.7997489014438167,2433.0
3,3,10,16,0.3,palsu,0.5441048034934498,0.5888468809073724,0.5655923740354063,1058.0
3,1,10,16,0.5,asli,0.9524276606179499,0.7978635990139687,0.8683210373351219,2434.0
3,1,10,16,0.5,palsu,0.6613902271163111,0.9083175803402647,0.7654320987654321,1058.0
3,2,10,16,0.5,asli,0.9491017964071856,0.781750924784217,0.8573360378634213,2433.0
3,2,10,16,0.5,palsu,0.6429051782111634,0.9035916824196597,0.7512770137524558,1058.0
3,3,10,16,0.5,asli,0.9524733268671193,0.8072338676531031,0.8738598442714127,2433.0
3,3,10,16,0.5,palsu,0.6717984604618614,0.9073724007561437,0.7720144752714113,1058.0
3,1,10,32,0.2,asli,0.9532163742690059,0.8036154478225144,0.872046366473473,2434.0
3,1,10,32,0.2,palsu,0.6680555555555555,0.9092627599243857,0.7702161729383507,1058.0
3,2,10,32,0.2,asli,0.9475374732334048,0.7274969173859432,0.8230644036270635,2433.0
3,2,10,32,0.2,palsu,0.5914972273567468,0.9073724007561437,0.7161506900410295,1058.0
3,3,10,32,0.2,asli,0.9274896741624599,0.8306617344841759,0.8764093668690373,2433.0
3,3,10,32,0.2,palsu,0.6859756097560976,0.8506616257088847,0.759493670886076,1058.0
3,1,10,32,0.3,asli,0.954522486104093,0.776088742810189,0.8561069567187855,2434.0
3,1,10,32,0.3,palsu,0.6397884996695308,0.9149338374291115,0.7530143912874367,1058.0
3,2,10,32,0.3,asli,0.9425790754257908,0.7961364570489108,0.8631907308377896,2433.0
3,2,10,32,0.3,palsu,0.6545961002785515,0.888468809073724,0.7538091419406576,1058.0
3,3,10,32,0.3,asli,0.9370829361296473,0.8080558980682285,0.8677996027367028,2433.0
