K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,Durasi (detik)
3.0,1.0,10.0,16.0,0.2,0.8528202772140503,0.8539518713951111,0.8412017226219177,0.3463650941848755,0.3343360126018524,0.8757567035042505,0.8539518900343642,212.8316788673401
3.0,2.0,10.0,16.0,0.2,0.8622146248817444,0.832139790058136,0.8426323533058167,0.33238649368286133,0.3742208182811737,0.8562909723847277,0.8321397880263535,216.9042203426361
3.0,3.0,10.0,16.0,0.2,0.8525114059448242,0.8587797284126282,0.8640915751457214,0.3417240083217621,0.3220565915107727,0.86778157405326,0.8587797192781438,212.89899039268494
3.0,1.0,10.0,16.0,0.3,0.8578442335128784,0.863115668296814,0.8454935550689697,0.34400248527526855,0.3079698085784912,0.8753119396048511,0.8631156930126003,247.56908798217773
3.0,2.0,10.0,16.0,0.3,0.7436072826385498,0.7966198921203613,0.8040057420730591,0.5251709818840027,0.4345298409461975,0.8372308822506246,0.7966198796906331,272.1494903564453
3.0,3.0,10.0,16.0,0.3,0.6520547866821289,0.7258664965629578,0.7367668151855469,0.6356008648872375,0.552632212638855,0.732607037680058,0.7258665138928674,215.72806906700134
3.0,1.0,10.0,16.0,0.5,0.8458552360534668,0.8313287496566772,0.8068669438362122,0.363413542509079,0.3681909143924713,0.8642496524149905,0.8313287514318443,237.59672665596008
3.0,2.0,10.0,16.0,0.5,0.84874427318573,0.8186765909194946,0.8412017226219177,0.36133700609207153,0.39975085854530334,0.8563043108582336,0.8186765969636207,235.76198434829712
3.0,3.0,10.0,16.0,0.5,0.8523972630500793,0.8375823497772217,0.8454935550689697,0.34646371006965637,0.3659815192222595,0.8674105916460472,0.8375823546261816,247.09947443008423
3.0,1.0,10.0,32.0,0.2,0.8492806553840637,0.8356242775917053,0.8283261656761169,0.36591359972953796,0.3682838976383209,0.8668188524480349,0.8356242840778924,174.88261580467224
3.0,2.0,10.0,32.0,0.2,0.8544520735740662,0.7820109128952026,0.7939913868904114,0.3490113914012909,0.46540567278862,0.8396341274478122,0.7820108851331996,170.89694046974182
3.0,3.0,10.0,32.0,0.2,0.8365296721458435,0.8367230296134949,0.8555078506469727,0.3797298073768616,0.3677688539028168,0.854295208352683,0.8367230020051561,160.4771327972412
3.0,1.0,10.0,32.0,0.3,0.8359214663505554,0.8181557655334473,0.8082975745201111,0.36860597133636475,0.39093586802482605,0.8591649380949958,0.81815578465063,157.12015891075134
3.0,2.0,10.0,32.0,0.3,0.8481734991073608,0.8241191506385803,0.8397710919380188,0.3542519509792328,0.3846265375614166,0.8553015080508898,0.8241191635634488,166.74390196800232
3.0,3.0,10.0,32.0,0.3,0.835616409778595,0.8284159302711487,0.8240343332290649,0.37263014912605286,0.3686627149581909,0.8545490552898677,0.8284159266685763,167.54876494407654
3.0,1.0,10.0,32.0,0.5,0.8356930613517761,0.8333333134651184,0.8340486288070679,0.3862115740776062,0.37020424008369446,0.8576465601956044,0.8333333333333334,158.63174057006836
3.0,2.0,10.0,32.0,0.5,0.8412100672721863,0.8195359706878662,0.8440629243850708,0.36608758568763733,0.38051530718803406,0.8513708049219891,0.8195359495846463,171.49187517166138
3.0,3.0,10.0,32.0,0.5,0.7245433926582336,0.7103981375694275,0.6838340759277344,0.5761951804161072,0.6044148206710815,0.8006300758749453,0.7103981667144085,160.294420003891
3.0,1.0,10.0,64.0,0.2,0.8329527378082275,0.8367697596549988,0.8211731314659119,0.3838444948196411,0.35739442706108093,0.8580398217579,0.8367697594501718,136.9654791355133
3.0,2.0,10.0,64.0,0.2,0.8109589219093323,0.8080779314041138,0.8283261656761169,0.43290388584136963,0.4175373315811157,0.8275207304041071,0.8080779146376397,143.6667125225067
3.0,3.0,10.0,64.0,0.2,0.793379008769989,0.8052133917808533,0.7925608158111572,0.4567946493625641,0.41735562682151794,0.8255469309928726,0.805213405900888,136.06204271316528
3.0,1.0,10.0,64.0,0.3,0.8266727328300476,0.8241695165634155,0.8168812394142151,0.3895525336265564,0.37461844086647034,0.8560540219840909,0.8241695303550973,126.69215440750122
3.0,2.0,10.0,64.0,0.3,0.8101598024368286,0.8043540716171265,0.8054363131523132,0.42548152804374695,0.4239121377468109,0.8186983482690505,0.8043540532798625,135.65750980377197
3.0,3.0,10.0,64.0,0.3,0.7886986136436462,0.80865079164505,0.7682403326034546,0.4604206383228302,0.41421884298324585,0.8284590212757544,0.8086508163849899,132.45311617851257
3.0,1.0,10.0,64.0,0.5,0.8007535934448242,0.8301832675933838,0.8082975745201111,0.43393829464912415,0.39935147762298584,0.8365920472862363,0.8301832760595648,154.17686676979065
3.0,2.0,10.0,64.0,0.5,0.7886986136436462,0.790317952632904,0.8025751113891602,0.4524793028831482,0.43723130226135254,0.8259246871179077,0.7903179604697794,132.66846656799316
3.0,3.0,10.0,64.0,0.5,0.8073059320449829,0.7908908724784851,0.7811158895492554,0.42986011505126953,0.4463229179382324,0.8188686068661537,0.7908908622171298,148.9450216293335
3.0,1.0,20.0,16.0,0.2,0.8728020191192627,0.8453608155250549,0.822603702545166,0.30652961134910583,0.415648877620697,0.8776120750478488,0.845360824742268,455.0737044811249
3.0,2.0,20.0,16.0,0.2,0.8767123222351074,0.8533371686935425,0.8698140382766724,0.2914430797100067,0.34454700350761414,0.8729507455417814,0.8533371526783157,514.9554679393768
3.0,3.0,20.0,16.0,0.2,0.8799086809158325,0.8782584071159363,0.8884119987487793,0.2904531955718994,0.30042293667793274,0.8771909311351516,0.878258378688055,498.31944608688354
3.0,1.0,20.0,16.0,0.3,0.8577300906181335,0.8502290844917297,0.8497853875160217,0.3377159833908081,0.3315512239933014,0.8777062620278414,0.8502290950744559,412.220903635025
3.0,2.0,20.0,16.0,0.3,0.8748858571052551,0.8650816679000854,0.8683834075927734,0.29909399151802063,0.3096121549606323,0.8696895157188113,0.8650816384989974,421.1428225040436
3.0,3.0,20.0,16.0,0.3,0.8737443089485168,0.8659409880638123,0.8798283338546753,0.2980005443096161,0.3028382360935211,0.8759869679045628,0.8659409911200229,521.2455327510834
3.0,1.0,20.0,16.0,0.5,0.8670929670333862,0.855956494808197,0.8383404612541199,0.30774733424186707,0.3325943648815155,0.8805371103055846,0.8559564719358533,498.0835635662079
3.0,2.0,20.0,16.0,0.5,0.8812785148620605,0.8573474884033203,0.8726752400398254,0.28463250398635864,0.3312859833240509,0.8697464748436854,0.857347464909768,496.02067399024963
3.0,3.0,20.0,16.0,0.5,0.8728310465812683,0.8739616274833679,0.8841201663017273,0.30321961641311646,0.2935536801815033,0.8802601033408309,0.8739616155829275,473.3650743961334
3.0,1.0,20.0,32.0,0.2,0.8649234771728516,0.8651202917098999,0.8540772795677185,0.31994158029556274,0.3125316798686981,0.8779903985517243,0.8651202749140894,368.879380941391
3.0,2.0,20.0,32.0,0.2,0.8724885582923889,0.8370094299316406,0.8469241857528687,0.30576586723327637,0.3485458791255951,0.8645705610036628,0.8370094528788313,316.5417127609253
3.0,3.0,20.0,32.0,0.2,0.8662100434303284,0.8607848882675171,0.8683834075927734,0.31649190187454224,0.3266315460205078,0.8763348251178849,0.8607848753938699,300.8607587814331
3.0,1.0,20.0,32.0,0.3,0.8622973561286926,0.8467926979064941,0.8240343332290649,0.3296467959880829,0.3593873083591461,0.8717440140268286,0.8467926689576174,313.4087882041931
3.0,2.0,20.0,32.0,0.3,0.877625584602356,0.8484674692153931,0.8655221462249756,0.3031049072742462,0.3411686420440674,0.8681756178533309,0.8484674878258379,303.2511496543884
3.0,3.0,20.0,32.0,0.3,0.5226027369499207,0.5118877291679382,0.4878397583961487,0.7585247159004211,0.6918883323669434,0.7071131094550712,0.5118877112575193,317.86743450164795
3.0,1.0,20.0,32.0,0.5,0.8694907426834106,0.8525200486183167,0.8440629243850708,0.3170473277568817,0.3379780650138855,0.8710917656220122,0.8525200458190149,298.88381791114807
3.0,2.0,20.0,32.0,0.5,0.8041095733642578,0.8192495107650757,0.8197425007820129,0.4402691423892975,0.3993721008300781,0.8453172124375729,0.8192494987109711,316.31890177726746
3.0,3.0,20.0,32.0,0.5,0.8646118640899658,0.8427384495735168,0.8440629243850708,0.31769120693206787,0.3552834093570709,0.8716650671873682,0.8427384703523346,303.4290623664856
3.0,1.0,20.0,64.0,0.2,0.8636674880981445,0.8565292358398438,0.8369098901748657,0.3254909813404083,0.32692310214042664,0.8719692540161019,0.8565292096219931,250.12759375572205
3.0,2.0,20.0,64.0,0.2,0.8615297079086304,0.8238326907157898,0.8440629243850708,0.3229288160800934,0.3820934593677521,0.8580230392006064,0.8238327126897736,280.88899874687195
3.0,3.0,20.0,64.0,0.2,0.8497716784477234,0.8430249094963074,0.8412017226219177,0.345970094203949,0.36165109276771545,0.8642489246895414,0.8430249212260097,296.4749057292938
3.0,1.0,20.0,64.0,0.3,0.862183153629303,0.8505154848098755,0.8412017226219177,0.33483055233955383,0.35289379954338074,0.8756428768924325,0.8505154639175257,302.38319420814514
3.0,2.0,20.0,64.0,0.3,0.8466895222663879,0.838728129863739,0.8640915751457214,0.36325913667678833,0.36586305499076843,0.8580375675454579,0.8387281581208823,278.7632942199707
3.0,3.0,20.0,64.0,0.3,0.8500000238418579,0.853623628616333,0.8540772795677185,0.34328511357307434,0.346063494682312,0.8613451897461638,0.8536236035519909,276.05940294265747
3.0,1.0,20.0,64.0,0.5,0.8605846166610718,0.8218785524368286,0.8154506683349609,0.33810535073280334,0.4025784134864807,0.8642244258745587,0.8218785796105383,249.28247928619385
3.0,2.0,20.0,64.0,0.5,0.8449771404266357,0.8123746514320374,0.8297567963600159,0.3669995367527008,0.40770089626312256,0.8499839782195523,0.8123746777427672,257.53066658973694
3.0,3.0,20.0,64.0,0.5,0.8478310704231262,0.8355771899223328,0.8426323533058167,0.34546926617622375,0.37172287702560425,0.8583305131148532,0.8355771985104554,265.1725723743439
3.0,1.0,30.0,16.0,0.2,0.8956382870674133,0.8717067837715149,0.8569384813308716,0.2513348162174225,0.30079275369644165,0.8844240345188604,0.8717067583046965,625.1636230945587
3.0,2.0,30.0,16.0,0.2,0.8861871957778931,0.8696648478507996,0.8826895356178284,0.2753993272781372,0.3001234233379364,0.8694939335562394,0.8696648524778,604.9009637832642
3.0,3.0,30.0,16.0,0.2,0.861872136592865,0.8473216891288757,0.8569384813308716,0.3353273570537567,0.35312747955322266,0.8568240794866342,0.8473216843311372,610.3354353904724
3.0,1.0,30.0,16.0,0.3,0.8903859257698059,0.8828751444816589,0.8669527769088745,0.25955232977867126,0.29006507992744446,0.8925935803844297,0.8828751431844215,601.3522257804871
3.0,2.0,30.0,16.0,0.3,0.9014840126037598,0.859639048576355,0.8783977031707764,0.24736440181732178,0.31247395277023315,0.8724548635246161,0.8596390718991693,606.8289420604706
3.0,3.0,30.0,16.0,0.3,0.8497716784477234,0.8519048690795898,0.8669527769088745,0.35183051228523254,0.34529638290405273,0.8654189489372571,0.8519048983099399,604.1624603271484
3.0,1.0,30.0,16.0,0.5,0.8870746493339539,0.8639748096466064,0.8497853875160217,0.26283714175224304,0.3094179034233093,0.8819047832585207,0.8639747995418099,617.0682430267334
3.0,2.0,30.0,16.0,0.5,0.8965753316879272,0.8490403890609741,0.8755365014076233,0.2533573508262634,0.34059464931488037,0.8695205299259273,0.8490403895731882,644.9505035877228
