K,Fold,Epoch,Batch,Dropout,Confusion_Flat
5,2,10,16,0.5,"[[1226, 234], [92, 543]]"
5,3,10,16,0.5,"[[1200, 260], [73, 562]]"
5,4,10,16,0.5,"[[0, 1460], [0, 635]]"
5,5,10,16,0.5,"[[1260, 200], [97, 537]]"
5,1,10,32,0.2,"[[1177, 283], [62, 573]]"
5,2,10,32,0.2,"[[1242, 218], [90, 545]]"
5,3,10,32,0.2,"[[1155, 305], [84, 551]]"
5,4,10,32,0.2,"[[1175, 285], [97, 538]]"
5,5,10,32,0.2,"[[1217, 243], [80, 554]]"
5,1,10,32,0.3,"[[1189, 271], [68, 567]]"
5,2,10,32,0.3,"[[1235, 225], [130, 505]]"
5,3,10,32,0.3,"[[1159, 301], [90, 545]]"
5,4,10,32,0.3,"[[1122, 338], [74, 561]]"
5,5,10,32,0.3,"[[1184, 276], [59, 575]]"
