K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,Durasi (detik)
3.0,1.0,10.0,16.0,0.2,0.8127426505088806,0.8190149068832397,0.8125894069671631,0.4258809983730316,0.4020825922489166,0.8525374097179501,0.8190148911798396,200.60209465026855
3.0,2.0,10.0,16.0,0.2,0.8662100434303284,0.8324262499809265,0.8569384813308716,0.32367604970932007,0.36598092317581177,0.8570987735364667,0.8324262389000286,217.32451248168945
3.0,3.0,10.0,16.0,0.2,0.8230593800544739,0.822973370552063,0.8283261656761169,0.40904054045677185,0.3977009057998657,0.8367488795094377,0.8229733600687482,251.6983196735382
3.0,1.0,10.0,16.0,0.3,0.8523635268211365,0.8456472158432007,0.8512160181999207,0.35518187284469604,0.33613595366477966,0.8646827853257943,0.8456471935853379,258.5297842025757
3.0,2.0,10.0,16.0,0.3,0.8263698816299438,0.8246920704841614,0.8154506683349609,0.4082035422325134,0.38592755794525146,0.836894844061125,0.8246920653107992,253.08499908447266
3.0,3.0,10.0,16.0,0.3,0.8543378710746765,0.8553423285484314,0.8526466488838196,0.33928486704826355,0.33291497826576233,0.8702932039817659,0.8553423087940418,214.04448533058167
3.0,1.0,10.0,16.0,0.5,0.8509933948516846,0.8508018255233765,0.8397710919380188,0.35395488142967224,0.3428856432437897,0.873879731527516,0.8508018327605956,280.5893819332123
3.0,2.0,10.0,16.0,0.5,0.8398401737213135,0.804640531539917,0.80972820520401,0.37118464708328247,0.41528889536857605,0.848121814301919,0.8046405041535377,273.68252873420715
3.0,3.0,10.0,16.0,0.5,0.5507990717887878,0.7141220569610596,0.7024320363998413,0.6819685101509094,0.5685490965843201,0.7485312149228845,0.7141220280721856,254.5728781223297
3.0,1.0,10.0,32.0,0.2,0.841973066329956,0.8470790386199951,0.8454935550689697,0.3728124499320984,0.3381369113922119,0.8620710815431755,0.8470790378006873,166.38195610046387
3.0,2.0,10.0,32.0,0.2,0.8457762598991394,0.8158121109008789,0.8383404612541199,0.355325311422348,0.38956892490386963,0.8437792328356273,0.8158120882268691,155.25847792625427
3.0,3.0,10.0,32.0,0.2,0.8386986255645752,0.8195359706878662,0.8254649639129639,0.36365213990211487,0.37877127528190613,0.8513708049219891,0.8195359495846463,175.9033854007721
3.0,1.0,10.0,32.0,0.3,0.8278145790100098,0.8324742317199707,0.8297567963600159,0.3854484260082245,0.3690394163131714,0.8575720749425976,0.8324742268041238,160.47585606575012
3.0,2.0,10.0,32.0,0.3,0.8554794788360596,0.8519048690795898,0.8769670724868774,0.3511778712272644,0.33881497383117676,0.8614154943644182,0.8519048983099399,172.24750518798828
3.0,3.0,10.0,32.0,0.3,0.8123287558555603,0.770839273929596,0.7539342045783997,0.4289413392543793,0.5136749148368835,0.813656373757488,0.7708393010598682,170.18793296813965
3.0,1.0,10.0,32.0,0.5,0.8224480748176575,0.8298969268798828,0.8125894069671631,0.39018329977989197,0.36627769470214844,0.8594486744109296,0.8298969072164949,178.07386898994446
3.0,2.0,10.0,32.0,0.5,0.8352739810943604,0.8226869106292725,0.8483548164367676,0.37534892559051514,0.3855859637260437,0.8448263738990069,0.822686909195073,162.62042140960693
3.0,3.0,10.0,32.0,0.5,0.5625,0.6977943181991577,0.6981402039527893,0.6919239163398743,0.6888495683670044,0.6884166955832324,0.6977943282727013,3.6417996883392334
