Ulasan
👍
good
sesuai
mntp sesuai pesanan....
👍🏻👍🏻
Pengiriman salah tidak sesuai foto
Bentuk dan ukuran: kurang bahan terlalu tipis Daya tahan pakai: Semoga bertahan lama Aroma: Terlalu menyegat
Mantap
Mantap.
tidak sesuai ekspetasi
Nice
lumayan bagus sepatunya tapi minus bau cat terus ada bintik bintik sama warnanya luntur
kerenn boss
"barang bagus sesuai pesanan, kualitas bagus, harganya murah,dan ternyata nyaman d pake."
mantap
"Bentuk dan ukuran: ukurannya kurang besar, kalau mau beli mending up size aja Aroma: aroma lem dan lemnya kurang rapih maklum sih 100k an Daya tahan pakai: yaa sesuai harga lah,Tutup Ulasan"
Pokoknya nah mah mantulllll. Juaraaa
"bagus, nyaman di pakai"
"Tali sepatu tidak diberikan,"
Pokonya josss buat di pake nyaman pokonya
Warna: Sangat Bagus Aroma: Aroma baru Sama seperti di foto dan empuk sangat enak di pakai
"bagus, fast respon, cuman agak dikit sempit"
"Bagus ,"
enak bgt dipakai
Syg ngk ada kosnya. Tpi ok semuanya
Baguss
Tali sepatu nya tidak ada gimana cara nya mau dipake ga ada tali sepatu
"Aroma: bau cat nya menyengat Bentuk dan ukuran: 42 di bagian bawahnya ada sedikit bolong-bolong, untuk packingnya lumayan, pengiriman cpet"
Ya lumayan lah sesuai harga. Buat sehari2 oke juga. Cuma saran kalo beli mending size-nya dibesarin dikit. Misal Uk kaki 42 mending beli yg Uk 43 👌👍👍
bagus
Ukuran pas..mantap
bagus banget puas. dan cepat.. sepatu enteng
"Barang nya bagus,dari desain udah cakep banget,dan bahan nya empuk,pengiriman juga cepet banget 🙏🙏😁"
Kok yg dikirim nomer 38 pas dipake juga kecil
Bentuk dan ukuran: Pas agak ke besaran sih gpp lh Aroma: karet enak Daya tahan pakai: belum ke pakai
Mantap bagus
barang nya bagus
"barang sudah nyampai, aman, anak senang, semoga awet"
Bangus banget susuan pesan
"Warna salah,bagiannya ada yg sobek, penjual tidak ada konfirmasi sebelumnya klo emng gk ada warna  bilang aja,cuma di cek lagi kondisi barangnya,saya gk bisa pengembalian karna ini sangat perlu dipakai dadakan   Lain kali jgn bgtu ya min Bentuk dan ukuran: Ok Aroma: Ok Daya tahan pakai: Ada robeknya Warna: Gk sesuai apa yg dipesanTutup Ulasan"
bagus banget siap binsik inimah👍👍👍
mantapp
Lumayan oke walau ada potongan yang gak reta di dekat tempat masang tali tapi lumayan lah untuk harga segitu
saya baru beli sepatu produk Indonesia baru kali ini aku beli sepatu di toko ini modelnya bagus banget semoga saja awet lama
Oke
keren desainnya  harganya worth it dengan sepatunya
sangat bagus tapi ukuran nya salah kirim kayak nya 😭
Saya pesen abu abu datang Mala putih nh
Sesuai dengan harga
"makasih min , sepatu enak di lihat kayak dia dan nyaman di pakai"
Aku kira sepatunya bakal keras ayo gimana ternyata enak banget mpuk tapi lemnya kurang rapi
"bagus sih rapi,tapi ada yang sobek di bagian tumin belakang tapi gak papa bisa aku jahit sendiri👍"
good
Maaf bintang 3 soalnya ada bagian depan yang ngelupas 🫣 untuk yang lain aman sih 🙏
mantulnya barangnya
Lumayan sesuai harga
Ukuran tidak sesuai size cart
Aroma: Nyengat bau lem Daya tahan pakai: Mudah rusak
"jelek sepatunya,warnanya di cat"
keren pas sesuai dengan keinginan dan pesanan.. mantap 👍👌
ukurannya pas banget dan sepatunya ringan dan bahanya cukup oke worth it sih dengan harga segitu.😇
Tappaa
Ukuran 43 kok lumayan sempit  tapi gpp
Mantap sesuai
Barang Sesuai dengan pesanan Respon ramah paking rapi dan sesuai dengan pesanan pokoknya eta pisan deh 👍👍👍👍   sukses selalu ya gan Terimakasih
oke
"Makasih paket sudah sampai, untuk barang bagus banget, maksih"
"Barang sesuai gambar,jangan ragu beli di toko ini semoga barangnya bisa awet.... lumayan untuk lari"" pagi/sore Warna: Sesuai Bentuk dan ukuran: Ukuran pas Daya tahan pakai: Semoga awet lahTutup Ulasan"
sangat baikk
bagus banget
okeyy syapp mantap bagus lah pokoknya harus beli di sini pengiriman cepat barangnya bagus👍
Kereen
Sangat amanah tokonya dan pengirimannya cepat kurirnya ramah
Cukup baik
Nice
Bagus dan baik
Barang sesuai pesenan
Barang bagus dan quality ckup 1 x pakek langsung robek tapak nya 🤣
Mantap
Keren parah
Untuk sizenya pas tapi minum di packagingnya min hancur kardusnya 😭
Bagus sekali🔥🔥
Empuk
bagus bagus yg mau beli toko sini aja ges
Bagusss
Produk TDK sesuai gambar lem amburadul TDK rapih...dlman sepatu licin ...TDK terpakaii ...gagal
Lumayan lah
bagus saya suka sekali makasih kurir ramah
"lumayanlah dengan harga terjangkau, selebihnya minus lemnya masih belum rapi, nempel di sela selah bagian bawah, for all ok, ringan, empuk jiga recomended buat anak sekolahTutup Ulasan"
Barang bagus mantap
Barang sudah datang kwalitas mantap
Siippp
Barang ok
"Mantap sepatunya cocok buat haiking olahraga dan sebagai nya,,"
