K,Fold,Epoch,Batch,Dropout,Label,Precision,Recall,F1-Score,Support
3,1,10,16,0.2,asli,0.9582514734774068,0.8015612161051766,0.8729306487695749,2434.0
3,1,10,16,0.2,palsu,0.6682692307692307,0.9196597353497163,0.7740652346857597,1058.0
3,2,10,16,0.2,asli,0.829195205479452,0.7961364570489108,0.812329628853009,2433.0
3,2,10,16,0.2,palsu,0.5705627705627706,0.6228733459357277,0.5955716222322639,1058.0
3,3,10,16,0.2,asli,0.9042194092827004,0.8808055898068229,0.8923589423277118,2433.0
3,3,10,16,0.2,palsu,0.7413024085637824,0.7854442344045368,0.7627351996328591,1058.0
3,1,10,16,0.3,asli,0.9386590584878745,0.8110106820049302,0.8701785320696496,2434.0
3,1,10,16,0.3,palsu,0.6688264938804895,0.8780718336483931,0.7592970984879445,1058.0
3,2,10,16,0.3,asli,0.888797702092737,0.8902589395807645,0.8895277207392197,2433.0
3,2,10,16,0.3,palsu,0.7466793168880456,0.7438563327032136,0.7452651515151515,1058.0
3,3,10,16,0.3,asli,0.9415370108439416,0.8207973695026716,0.8770311813790075,2433.0
3,3,10,16,0.3,palsu,0.6817518248175183,0.8827977315689981,0.7693574958813838,1058.0
3,1,10,16,0.5,asli,0.9280643634642688,0.8056696795398521,0.8625467341104025,2434.0
3,1,10,16,0.5,palsu,0.6569978245105149,0.8563327032136105,0.7435371358227328,1058.0
3,2,10,16,0.5,asli,0.9276164130935916,0.8269625976161118,0.8744024337244676,2433.0
3,2,10,16,0.5,palsu,0.6815431164901664,0.8516068052930057,0.7571428571428571,1058.0
3,3,10,16,0.5,asli,0.8486799742433999,0.541718043567612,0.6613146011038635,2433.0
3,3,10,16,0.5,palsu,0.4246646026831785,0.777882797731569,0.5493991989319092,1058.0
3,1,10,32,0.2,asli,0.9438149197355996,0.8212818405916187,0.8782952548330404,2434.0
3,1,10,32,0.2,palsu,0.6834061135371179,0.8875236294896031,0.772203947368421,1058.0
3,2,10,32,0.2,asli,0.931344696969697,0.8084669132757912,0.8655665566556656,2433.0
3,2,10,32,0.2,palsu,0.6620739666424945,0.8629489603024575,0.7492819039803037,1058.0
3,3,10,32,0.2,asli,0.9302432308398348,0.833127825729552,0.8790112749349523,2433.0
3,3,10,32,0.2,palsu,0.6905487804878049,0.8563327032136105,0.7645569620253164,1058.0
3,1,10,32,0.3,asli,0.9555555555555556,0.794987674609696,0.8679076026014801,2434.0
3,1,10,32,0.3,palsu,0.6598500340831629,0.9149338374291116,0.7667326732673267,1058.0
3,2,10,32,0.3,asli,0.9336538461538462,0.7981915330867242,0.8606248615111899,2433.0
3,2,10,32,0.3,palsu,0.6520198440822113,0.8695652173913043,0.745240988254354,1058.0
3,3,10,32,0.3,asli,0.9392614188532556,0.7944923962186601,0.86083277666444,2433.0
3,3,10,32,0.3,palsu,0.6510816468946267,0.8818525519848771,0.7490967482938579,1058.0
3,1,10,32,0.5,asli,0.931255728689276,0.8348397699260477,0.8804159445407279,2434.0
3,1,10,32,0.5,palsu,0.6931297709923664,0.8582230623818525,0.7668918918918919,1058.0
3,2,10,32,0.5,asli,0.9078498293515358,0.8746403616933827,0.8909357337240946,2433.0
3,2,10,32,0.5,palsu,0.7340889276373147,0.7958412098298677,0.763718820861678,1058.0
3,3,10,32,0.5,asli,0.9450171821305842,0.7912042745581587,0.8612975391498882,2433.0
3,3,10,32,0.5,palsu,0.6506189821182944,0.8941398865784499,0.7531847133757962,1058.0
3,1,10,64,0.2,asli,0.926410835214447,0.8430566967953985,0.8827704882770488,2434.0
3,1,10,64,0.2,palsu,0.7008613938919342,0.8459357277882797,0.7665952890792291,1058.0
3,2,10,64,0.2,asli,0.9169533169533168,0.7669543773119606,0.8352730528200537,2433.0
3,2,10,64,0.2,palsu,0.6105769230769231,0.8402646502835539,0.7072394590294352,1058.0
3,3,10,64,0.2,asli,0.9012634534394012,0.7916152897657214,0.8428884026258205,2433.0
3,3,10,64,0.2,palsu,0.6255539143279173,0.8005671077504726,0.7023217247097844,1058.0
3,1,10,64,0.3,asli,0.9532307692307692,0.6364009860312243,0.7632421778763242,2434.0
3,1,10,64,0.3,palsu,0.5259775040171398,0.9281663516068052,0.6714529914529914,1058.0
3,2,10,64,0.3,asli,0.9297218155197656,0.782983970406905,0.8500669344042838,2433.0
3,2,10,64,0.3,palsu,0.6338418862690708,0.8638941398865785,0.7312,1058.0
3,3,10,64,0.3,asli,0.91748046875,0.7722975750102754,0.8386520865878152,2433.0
3,3,10,64,0.3,palsu,0.6160776160776161,0.8402646502835539,0.7109156337465014,1058.0
3,1,10,64,0.5,asli,0.6970217640320733,1.0,0.8214647316908539,2434.0
3,1,10,64,0.5,palsu,0.0,0.0,0.0,1058.0
3,2,10,64,0.5,asli,0.9291687161829808,0.7764077270859022,0.8459471562919839,2433.0
3,2,10,64,0.5,palsu,0.6268861454046639,0.8638941398865785,0.7265500794912559,1058.0
3,3,10,64,0.5,asli,0.8614357262103506,0.8483353884093712,0.8548353696417478,2433.0
3,3,10,64,0.5,palsu,0.663013698630137,0.6862003780718336,0.67440780306549,1058.0
3,1,20,16,0.2,asli,0.9673807205452776,0.8163516844700082,0.8854723707664884,2434.0
3,1,20,16,0.2,palsu,0.6891515994436718,0.936672967863894,0.7940705128205128,1058.0
3,2,20,16,0.2,asli,0.9158163265306124,0.8853267570900123,0.9003134796238245,2433.0
3,2,20,16,0.2,palsu,0.7550482879719052,0.8128544423440454,0.7828857532999545,1058.0
3,3,20,16,0.2,asli,0.954632282712512,0.821619399917797,0.8831455710183345,2433.0
3,3,20,16,0.2,palsu,0.6893342877594846,0.9102079395085066,0.7845213849287169,1058.0
3,1,20,16,0.3,asli,0.9478425794215268,0.8212818405916187,0.8800352190182699,2434.0
3,1,20,16,0.3,palsu,0.6854663774403471,0.8960302457466919,0.7767308480131094,1058.0
3,2,20,16,0.3,asli,0.9176621160409556,0.8840937114673243,0.9005652082897215,2433.0
3,2,20,16,0.3,palsu,0.7541412380122058,0.8175803402646503,0.7845804988662132,1058.0
3,3,20,16,0.3,asli,0.9352389459580168,0.8606658446362515,0.896404109589041,2433.0
3,3,20,16,0.3,palsu,0.7292332268370607,0.8629489603024575,0.7904761904761904,1058.0
3,1,20,16,0.5,asli,0.9560952825782344,0.8410024650780608,0.894863387978142,2434.0
3,1,20,16,0.5,palsu,0.7135455218356773,0.9111531190926276,0.8003320880033209,1058.0
3,2,20,16,0.5,asli,0.9253601047577475,0.8713522400328813,0.8975444538526672,2433.0
3,2,20,16,0.5,palsu,0.7391666666666666,0.8383742911153119,0.7856510186005314,1058.0
3,3,20,16,0.5,asli,0.9544264012572028,0.7488697081792026,0.8392445877475817,2433.0
3,3,20,16,0.5,palsu,0.6137800252844501,0.9177693761814744,0.7356060606060606,1058.0
3,1,20,32,0.2,asli,0.970620239390642,0.7329498767460969,0.8352059925093633,2434.0
3,1,20,32,0.2,palsu,0.6070133010882709,0.9489603024574668,0.7404129793510325,1058.0
3,2,20,32,0.2,asli,0.9399720800372268,0.8302507192766132,0.8817110432125709,2433.0
3,2,20,32,0.2,palsu,0.6922503725782414,0.8780718336483931,0.7741666666666667,1058.0
3,3,20,32,0.2,asli,0.8999144568006844,0.8647759967118783,0.8819953888073779,2433.0
3,3,20,32,0.2,palsu,0.7146574154379879,0.77882797731569,0.7453640886476708,1058.0
3,1,20,32,0.3,asli,0.9090909090909092,0.8463434675431388,0.8765957446808511,2434.0
3,1,20,32,0.3,palsu,0.6949429037520392,0.8052930056710775,0.7460595446584939,1058.0
3,2,20,32,0.3,asli,0.9333333333333332,0.8170982326346075,0.871356563664256,2433.0
3,2,20,32,0.3,palsu,0.6730345334313005,0.8657844990548205,0.7573377428689542,1058.0
3,3,20,32,0.3,asli,0.9464867380176828,0.8360049321824907,0.8878219118288957,2433.0
3,3,20,32,0.3,palsu,0.702682563338301,0.8913043478260869,0.7858333333333334,1058.0
3,1,20,32,0.5,asli,0.9580979284369114,0.8360723089564502,0.8929354980254498,2434.0
3,1,20,32,0.5,palsu,0.7083333333333334,0.9158790170132324,0.798845836768343,1058.0
3,2,20,32,0.5,asli,0.9338168631006346,0.8466913275791205,0.8881224401810736,2433.0
3,2,20,32,0.5,palsu,0.709727626459144,0.8620037807183365,0.7784891165172856,1058.0
3,3,20,32,0.5,asli,0.9423076923076924,0.8458692971639951,0.8914879792072774,2433.0
3,3,20,32,0.5,palsu,0.7130833970925784,0.8809073724007561,0.7881606765327696,1058.0
3,1,20,64,0.2,asli,0.9258446687143485,0.866885784716516,0.8953957139826013,2434.0
3,1,20,64,0.2,palsu,0.7328936521022259,0.8402646502835539,0.7829150154117129,1058.0
3,2,20,64,0.2,asli,0.9121951219512195,0.8454582819564324,0.8775597269624573,2433.0
3,2,20,64,0.2,palsu,0.6957928802588996,0.8128544423440454,0.7497820401046208,1058.0
3,3,20,64,0.2,asli,0.924262439453985,0.8627209206740649,0.8924319727891157,2433.0
3,3,20,64,0.2,palsu,0.7262295081967213,0.8374291115311909,0.7778753292361721,1058.0
3,1,20,64,0.3,asli,0.95361328125,0.8023829087921117,0.8714859437751004,2434.0
