komentar,cleaned,tokens,normalized,stemmed,cleaned_final
"Mantap meski KW, semoga awet. Finishing tolong diperbaiki lebih rapi lemnya.",mantap meski kw semoga awet finishing tolong diperbaiki lebih rapi lemnya,"['mantap', 'meski', 'kw', 'semoga', 'awet', 'finishing', 'tolong', 'diperbaiki', 'lebih', 'rapi', 'lemnya']","['mantap', 'meski', 'palsu', 'semoga', 'awet', 'finishing', 'tolong', 'diperbaiki', 'lebih', 'rapi', 'lemnya']","['mantap', 'meski', 'palsu', 'moga', 'awet', 'finishing', 'tolong', 'baik', 'lebih', 'rapi', 'lem']",mantap meski palsu moga awet finishing tolong baik lebih rapi lem
Barang sesuai dengan pesanan dan pas ukurannya. Ada bonus tas sepatu pula. Mantap.,barang sesuai dengan pesanan dan pas ukurannya ada bonus tas sepatu pula mantap,"['barang', 'sesuai', 'dengan', 'pesanan', 'dan', 'pas', 'ukurannya', 'ada', 'bonus', 'tas', 'sepatu', 'pula', 'mantap']","['barang', 'sesuai', 'dengan', 'pesanan', 'dan', 'pas', 'ukurannya', 'ada', 'bonus', 'tas', 'sepatu', 'pula', 'mantap']","['barang', 'sesuai', 'dengan', 'pesan', 'dan', 'pas', 'ukur', 'ada', 'bonus', 'tas', 'sepatu', 'pula', 'mantap']",barang sesuai dengan pesan dan pas ukur ada bonus tas sepatu pula mantap
"Sesuai pesanan,sepatu di pakai juga enak,ada harga ada kualitas,sipp lah",sesuai pesanan sepatu di pakai juga enak ada harga ada kualitas sipp lah,"['sesuai', 'pesanan', 'sepatu', 'di', 'pakai', 'juga', 'enak', 'ada', 'harga', 'ada', 'kualitas', 'sipp', 'lah']","['sesuai', 'pesanan', 'sepatu', 'di', 'pakai', 'juga', 'enak', 'ada', 'harga', 'ada', 'kualitas', 'sipp', 'lah']","['sesuai', 'pesan', 'sepatu', 'di', 'pakai', 'juga', 'enak', 'ada', 'harga', 'ada', 'kualitas', 'sipp', 'lah']",sesuai pesan sepatu di pakai juga enak ada harga ada kualitas sipp lah
Ukuran Sesuai Deskripsi Modelnya keren! Packing aman 👍 Sepatu Nyaman 👟,ukuran sesuai deskripsi modelnya keren packing aman sepatu nyaman,"['ukuran', 'sesuai', 'deskripsi', 'modelnya', 'keren', 'packing', 'aman', 'sepatu', 'nyaman']","['ukuran', 'sesuai', 'deskripsi', 'modelnya', 'keren', 'packing', 'aman', 'sepatu', 'nyaman']","['ukur', 'sesuai', 'deskripsi', 'model', 'keren', 'packing', 'aman', 'sepatu', 'nyaman']",ukur sesuai deskripsi model keren packing aman sepatu nyaman
"pengiriman cepat kemasan rapi, sesuai dengan pesanan",pengiriman cepat kemasan rapi sesuai dengan pesanan,"['pengiriman', 'cepat', 'kemasan', 'rapi', 'sesuai', 'dengan', 'pesanan']","['pengiriman', 'cepat', 'kemasan', 'rapi', 'sesuai', 'dengan', 'pesanan']","['kirim', 'cepat', 'kemas', 'rapi', 'sesuai', 'dengan', 'pesan']",kirim cepat kemas rapi sesuai dengan pesan
"Sepatu yg dipesan sudah sampe tujuan,bagus banget Saya suka skli sesuai Ekspektasi sellernya sangat amanah & Kurirnya pun ramah",sepatu yg dipesan sudah sampe tujuan bagus banget saya suka skli sesuai ekspektasi sellernya sangat amanah kurirnya pun ramah,"['sepatu', 'yg', 'dipesan', 'sudah', 'sampe', 'tujuan', 'bagus', 'banget', 'saya', 'suka', 'skli', 'sesuai', 'ekspektasi', 'sellernya', 'sangat', 'amanah', 'kurirnya', 'pun', 'ramah']","['sepatu', 'yang', 'dipesan', 'sudah', 'sampe', 'tujuan', 'bagus', 'banget', 'saya', 'suka', 'skli', 'sesuai', 'ekspektasi', 'sellernya', 'sangat', 'amanah', 'kurirnya', 'pun', 'ramah']","['sepatu', 'yang', 'pes', 'sudah', 'sampe', 'tuju', 'bagus', 'banget', 'saya', 'suka', 'skli', 'sesuai', 'ekspektasi', 'sellernya', 'sangat', 'amanah', 'kurir', 'pun', 'ramah']",sepatu yang pes sudah sampe tuju bagus banget saya suka skli sesuai ekspektasi sellernya sangat amanah kurir pun ramah
"wah enak banget sepatu nya nyaman di kaki, semoga awet...",wah enak banget sepatu nya nyaman di kaki semoga awet,"['wah', 'enak', 'banget', 'sepatu', 'nya', 'nyaman', 'di', 'kaki', 'semoga', 'awet']","['wah', 'enak', 'banget', 'sepatu', 'nya', 'nyaman', 'di', 'kaki', 'semoga', 'awet']","['wah', 'enak', 'banget', 'sepatu', 'nya', 'nyaman', 'di', 'kaki', 'moga', 'awet']",wah enak banget sepatu nya nyaman di kaki moga awet
kereeeen ini mah untuk harga segini menyerupai ORI nya jooos gandooooos,kereeeen ini mah untuk harga segini menyerupai ori nya jooos gandooooos,"['kereeeen', 'ini', 'mah', 'untuk', 'harga', 'segini', 'menyerupai', 'ori', 'nya', 'jooos', 'gandooooos']","['kereeeen', 'ini', 'mah', 'untuk', 'harga', 'segini', 'menyerupai', 'asli', 'nya', 'jooos', 'gandooooos']","['kereeeen', 'ini', 'mah', 'untuk', 'harga', 'gin', 'rupa', 'asli', 'nya', 'jooos', 'gandooooos']",kereeeen ini mah untuk harga gin rupa asli nya jooos gandooooos
"barang bagus , empuk, melebihi ekspektasi. ukuran cukup",barang bagus empuk melebihi ekspektasi ukuran cukup,"['barang', 'bagus', 'empuk', 'melebihi', 'ekspektasi', 'ukuran', 'cukup']","['barang', 'bagus', 'empuk', 'melebihi', 'ekspektasi', 'ukuran', 'cukup']","['barang', 'bagus', 'empuk', 'lebih', 'ekspektasi', 'ukur', 'cukup']",barang bagus empuk lebih ekspektasi ukur cukup
"mantap harga terjangkau,ya sesuai lah ada harga ada barang",mantap harga terjangkau ya sesuai lah ada harga ada barang,"['mantap', 'harga', 'terjangkau', 'ya', 'sesuai', 'lah', 'ada', 'harga', 'ada', 'barang']","['mantap', 'harga', 'terjangkau', 'ya', 'sesuai', 'lah', 'ada', 'harga', 'ada', 'barang']","['mantap', 'harga', 'jangkau', 'ya', 'sesuai', 'lah', 'ada', 'harga', 'ada', 'barang']",mantap harga jangkau ya sesuai lah ada harga ada barang
