komentar,cleaned,tokens,normalized,stemmed,cleaned_final
sangat puas srkali,sangat puas srkali,"['sangat', 'puas', 'srkali']","['sangat', 'puas', 'srkali']","['sangat', 'puas', 'srkali']",sangat puas srkali
super cepat kirimnya kerennn,super cepat kirimnya kerennn,"['super', 'cepat', 'kirimnya', 'kerennn']","['super', 'cepat', 'kirimnya', 'kerennn']","['super', 'cepat', 'kirim', 'kerennn']",super cepat kirim kerennn
JELEK,jelek,['jelek'],['jelek'],['jelek'],jelek
Sangattt bagus worth it,sangattt bagus worth it,"['sangattt', 'bagus', 'worth', 'it']","['sangattt', 'bagus', 'worth', 'it']","['sangattt', 'bagus', 'worth', 'it']",sangattt bagus worth it
kegedean. gpp buat keponakan,kegedean gpp buat keponakan,"['kegedean', 'gpp', 'buat', 'keponakan']","['kegedean', 'gpp', 'buat', 'keponakan']","['gede', 'gpp', 'buat', 'keponakan']",gede gpp buat keponakan
"sepatunya mantap, suka.",sepatunya mantap suka,"['sepatunya', 'mantap', 'suka']","['sepatunya', 'mantap', 'suka']","['sepatu', 'mantap', 'suka']",sepatu mantap suka
sesuai harga,sesuai harga,"['sesuai', 'harga']","['sesuai', 'harga']","['sesuai', 'harga']",sesuai harga
baguss,baguss,['baguss'],['baguss'],['baguss'],baguss
bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
"Ok,mantap",ok mantap,"['ok', 'mantap']","['oke', 'mantap']","['oke', 'mantap']",oke mantap
Sangat puas pokoknya,sangat puas pokoknya,"['sangat', 'puas', 'pokoknya']","['sangat', 'puas', 'pokoknya']","['sangat', 'puas', 'pokok']",sangat puas pokok
Bagus empukkk,bagus empukkk,"['bagus', 'empukkk']","['bagus', 'empukkk']","['bagus', 'empukkk']",bagus empukkk
lumayan sesuai harga,lumayan sesuai harga,"['lumayan', 'sesuai', 'harga']","['lumayan', 'sesuai', 'harga']","['lumayan', 'sesuai', 'harga']",lumayan sesuai harga
mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
warna yg dikirim tdk sesuai,warna yg dikirim tdk sesuai,"['warna', 'yg', 'dikirim', 'tdk', 'sesuai']","['warna', 'yang', 'pengiriman', 'tdk', 'sesuai']","['warna', 'yang', 'kirim', 'tdk', 'sesuai']",warna yang kirim tdk sesuai
mantapp,mantapp,['mantapp'],['mantapp'],['mantapp'],mantapp
ok,ok,['ok'],['oke'],['oke'],oke
terima kasiiih,terima kasiiih,"['terima', 'kasiiih']","['terima', 'kasiiih']","['terima', 'kasiiih']",terima kasiiih
Mantaapppp....👍,mantaapppp,['mantaapppp'],['mantaapppp'],['mantaapppp'],mantaapppp
"puas, jossssss",puas jossssss,"['puas', 'jossssss']","['puas', 'jossssss']","['puas', 'jossssss']",puas jossssss
