K,Fold,Epoch,Batch,Dropout,Label,Precision,Recall,F1-Score,Support
3,1,10,16,0.2,asli,0.8990323937736643,0.8779786359901397,0.8883807940137186,2434.0
3,1,10,16,0.2,palsu,0.7336322869955157,0.7731568998109641,0.7528762080073631,1058.0
3,2,10,16,0.2,asli,0.930411206507004,0.8462803123715578,0.886353852776582,2433.0
3,2,10,16,0.2,palsu,0.7073552425665102,0.8544423440453687,0.773972602739726,1058.0
3,3,10,16,0.2,asli,0.9309417040358744,0.8532675709001233,0.8904138966330688,2433.0
3,3,10,16,0.2,palsu,0.7168913560666138,0.8544423440453687,0.7796463993100474,1058.0
